ID	Bin	TaxonRelativeAbundance	Domain	Phylum	Class	Order	Family	Species
JF204060.1.1296	Bin2	3.08291723884872e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF019827.1.1371	Bin2	1.93986625804062e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF019951.1.1368	Bin2	3.02742481400507e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12412	Bin2	1.31578263373154e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3267	Bin2	2.71360283575846e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
HQ462560.1.1224	Bin2	1.1828163750786e-05	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_1895	Bin2	1.03304551669668e-05	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_3919	Bin2	5.88869425372196e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_7638	Bin2	1.0664960273023e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
DQ337045.1.1259	Bin2	5.84585920979151e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
JF135938.1.1299	Bin2	4.37372963966646e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_19543	Bin2	6.83021567280237e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF018189.1.1324	Bin2	1.13196496839545e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5297	Bin2	5.34564971026579e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
EF019433.1.1341	Bin2	1.17230311401198e-06	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	uncultured Bradyrhizobiaceae bacterium
OTU_DN_18213	Bin2	2.89023979341363e-06	Bacteria	NA	NA	NA	NA	NA
OTU_DN_10478	Bin2	1.75554092604784e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5854	Bin3	8.77770463023919e-07	Bacteria	Parcubacteria	Candidatus Jorgensenbacteria	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
OTU_DN_9834	Bin3	2.50399687095088e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_14348	Bin3	1.41428712857284e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_17400	Bin3	5.76551644613566e-07	Bacteria	Parcubacteria	Candidatus Adlerbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_15092	Bin3	2.11011454885252e-06	Bacteria	Parcubacteria	Candidatus Adlerbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
KC331409.1.1438	Bin3	2.21713970944977e-06	Bacteria	Parcubacteria	Candidatus Adlerbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
AB510987.1.1387	Bin3	5.23245166522774e-07	Bacteria	Parcubacteria	Candidatus Adlerbacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_8199	Bin3	2.25831766625452e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_18519	Bin3	1.67461808659529e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
AY532553.1.1415	Bin3	5.34564971026579e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_9640	Bin3	1.11733091989855e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_12151	Bin3	1.10229066791827e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_10371	Bin3	7.07143564286421e-07	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_18853	Bin3	1.06912994205316e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_9412	Bin3	1.29045715056609e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_10665	Bin3	1.75554092604784e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
CEVN01160041.4282.5718	Bin3	1.56973549956832e-06	Bacteria	Parcubacteria	uncultured bacterium	uncultured bacterium	uncultured bacterium	uncultured bacterium
OTU_DN_5296	Bin3	6.84005787817226e-07	Bacteria	Parcubacteria	Candidatus Campbellbacteria	uncultured soil bacterium	uncultured soil bacterium	uncultured soil bacterium
OTU_DN_5169	Bin3	1.11111661564014e-06	Bacteria	Parcubacteria	Candidatus Campbellbacteria	uncultured soil bacterium	uncultured soil bacterium	uncultured soil bacterium
