"SpeciesID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Species"
"62"	"OTU_DN_8708"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"63"	"OTU_DN_3711"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"64"	"HQ120591.1.1319"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"65"	"KC358164.1.1225"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"66"	"OTU_DN_12238"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"67"	"OTU_DN_5173"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"68"	"EU134933.1.1233"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"69"	"AM991239.1.1391"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"70"	"OTU_DN_3642"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"71"	"OTU_DN_5242"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"72"	"EF018382.1.1327"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"73"	"AB179676.1.1344"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"74"	"AM991231.1.1392"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"75"	"OTU_DN_3862"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"76"	"OTU_DN_2549"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"77"	"OTU_DN_10026"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"78"	"OTU_DN_5488"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"79"	"OTU_DN_2696"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"80"	"HE602783.1.1341"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"81"	"KC329593.1.1430"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"82"	"JQ861406.1.1431"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"83"	"OTU_DN_19110"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"84"	"EF018219.1.1324"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"85"	"OTU_DN_3799"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"86"	"OTU_DN_11357"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"87"	"AY921854.1.1331"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"88"	"JF204060.1.1296"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"89"	"EF019827.1.1371"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"90"	"EF019951.1.1368"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"91"	"OTU_DN_12412"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"92"	"OTU_DN_3267"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"93"	"HQ462560.1.1224"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"94"	"OTU_DN_1895"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"95"	"OTU_DN_3919"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"96"	"OTU_DN_7638"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"97"	"DQ337045.1.1259"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"98"	"JF135938.1.1299"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"99"	"OTU_DN_19543"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"100"	"EF018189.1.1324"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"101"	"OTU_DN_5297"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"102"	"EF019433.1.1341"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Bradyrhizobiaceae"	"uncultured Bradyrhizobiaceae bacterium"
"103"	"OTU_DN_18213"	"Bacteria"	NA	NA	NA	NA	NA
"104"	"OTU_DN_10478"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"105"	"OTU_DN_5854"	"Bacteria"	"Parcubacteria"	"Candidatus Jorgensenbacteria"	"Ambiguous_taxa"	"Ambiguous_taxa"	"Ambiguous_taxa"
"106"	"OTU_DN_9834"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"107"	"OTU_DN_14348"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"108"	"OTU_DN_17400"	"Bacteria"	"Parcubacteria"	"Candidatus Adlerbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"109"	"OTU_DN_15092"	"Bacteria"	"Parcubacteria"	"Candidatus Adlerbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"110"	"KC331409.1.1438"	"Bacteria"	"Parcubacteria"	"Candidatus Adlerbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"111"	"AB510987.1.1387"	"Bacteria"	"Parcubacteria"	"Candidatus Adlerbacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"112"	"OTU_DN_8199"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"113"	"OTU_DN_18519"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"114"	"AY532553.1.1415"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"115"	"OTU_DN_9640"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"116"	"OTU_DN_12151"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"117"	"OTU_DN_10371"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"118"	"OTU_DN_18853"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"119"	"OTU_DN_9412"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"120"	"OTU_DN_10665"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"121"	"CEVN01160041.4282.5718"	"Bacteria"	"Parcubacteria"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"	"uncultured bacterium"
"122"	"OTU_DN_5296"	"Bacteria"	"Parcubacteria"	"Candidatus Campbellbacteria"	"uncultured soil bacterium"	"uncultured soil bacterium"	"uncultured soil bacterium"
"123"	"OTU_DN_5169"	"Bacteria"	"Parcubacteria"	"Candidatus Campbellbacteria"	"uncultured soil bacterium"	"uncultured soil bacterium"	"uncultured soil bacterium"
"124"	"OTU_DN_1788"	"Bacteria"	"Parcubacteria"	"Candidatus Giovannonibacteria"	"Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19"	"Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19"	"Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19"
"125"	"OTU_DN_10677"	"Bacteria"	"Parcubacteria"	"Candidatus Giovannonibacteria"	NA	NA	NA
"126"	"AF507685.1.1468"	"Bacteria"	"Parcubacteria"	"Candidatus Nomurabacteria"	NA	NA	NA
"127"	"OTU_DN_2335"	"Bacteria"	"Parcubacteria"	"Candidatus Azambacteria"	"uncultured soil bacterium"	"uncultured soil bacterium"	"uncultured soil bacterium"
