	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900	ERR2523251	ERR2523252	ERR2523253	ERR2523254	ERR2523255	ERR2523256	ERR2523257	ERR2523258	ERR2523259	ERR2523260	ERR2523261	ERR2523262	ERR2523263	ERR2523264	ERR2523265	ERR2523266	ERR2523267	ERR2523268	ERR2523269	ERR2523270	ERR2523271	ERR2523272	ERR2523273	ERR2523274	ERR2523275	ERR2523276	ERR2523277	ERR2523278	ERR2523279	ERR2523280
GQ140335.1.1422	392	112	120	510	207	155	135	108	111	145	124	91	97	97	79	65	200	126	72	113	273	108	149	276	278	198	235	601	326	202	103	102	58	31	22	47	17	11	0	5	7	4	16	12	20	12	28	6	29	66	19	22	47	37	19	31	8	13	30	19	41	20	40	17	7	4
FM865977.1.1415	303	71	167	712	49	365	214	126	51	103	60	15	61	17	32	19	38	453	24	18	92	43	59	294	17	41	68	28	198	8	18	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HF678384.1.1265	7221	5473	21509	6679	5975	8374	4902	17128	10537	12734	5756	7198	5069	5354	6287	5684	8165	14163	9577	5231	10349	12426	5400	8087	11978	18621	9385	8084	15983	6672	20480	9817	6	7	8	11	2	2	1	3	1319	2016	221	4268	247	442	277	359	338	295	574	622	619	711	78	156	509	140	298	789	957	217	576	218	1045	193
JQ318861.1.1470	6	29	5	7	11	8	14	2	6	8	4	14	10	10	10	4	8	7	8	4	2	6	11	6	2	7	11	15	2	3	7	6	5	6	4	9	1	0	4	1	1	1	8	2	6	4	6	3	6	11	3	7	1	7	10	8	5	2	4	2	0	7	3	2	5	4
HQ686141.1.1218	566	3	0	4	1	108	46	3	0	0	7	0	2	0	0	4	1	72	23	382	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GQ263725.1.1464	487	780	3478	802	714	1006	578	1246	376	1004	161	2125	495	209	168	210	140	704	488	1562	613	325	599	1046	894	993	775	479	304	115	1366	383	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU550579.1.1244	40	64	64	31	59	223	92	77	111	120	324	185	112	97	167	138	265	76	135	87	182	101	98	200	180	302	259	114	585	559	205	125	8	6	4	16	4	2	3	4	8	1	7	5	1	7	5	4	3	7	13	5	5	2	6	3	0	3	2	2	4	10	2	2	11	1
KJ600845.1.1416	4	1	1	4	0	0	0	1	1	1	0	0	3	3	3	1	1	0	0	0	3	5	2	0	1	4	2	0	1	0	5	2	14	5	7	6	18	29	23	18	49	36	51	51	87	56	60	108	66	58	75	61	78	49	75	59	95	83	72	23	32	30	82	33	58	61
HM131972.1.1456	5	3	8	7	2	1	2	0	0	3	6	1	3	4	3	1	2	3	0	1	3	3	5	0	4	10	5	0	0	4	10	0	13	10	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ264198.1.1469	293	148	153	325	5	192	60	156	11	84	71	25	75	6	15	12	25	278	6	7	45	9	113	29	45	17	95	58	54	16	21	3	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0
OTU_dn_9049	99	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB681047.1.1452	739	8	889	1503	156	24	155	12	218	290	2	18	299	0	5	0	5	597	8	6	11	6	1	3	2	5	2	257	10	42	31	232	27	0	0	0	3	14	2	1	0	0	4	0	0	0	5	0	4	3	2	0	2	0	3	1	0	0	3	5	6	4	1	3	0	40
JN585684.1.1392	42	15	46	25	19	24	10	31	12	30	6	30	16	4	2	0	3	18	10	31	12	3	13	27	14	18	16	7	7	2	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HG423553.1.1283	303	355	510	295	133	719	435	355	298	414	240	244	267	117	109	239	123	304	256	313	222	111	531	461	761	438	282	335	132	142	29	450	8	3	2	6	1	1	1	2	6	0	4	1	0	2	1	2	6	6	8	4	3	1	1	0	2	2	1	0	0	1	7	0	0	0
LC018993.1.1498	3093	2	131	1268	139	7	47	60	6	161	0	1	234	2	1	15	1	100	1	0	0	1	0	1	0	0	3	6	4	0	2	74	0	1	1	1	0	4	3	13	7	2	3	1	6	13	159	1	7	13	13	13	15	25	47	6	57	0	4	4	5	7	0	4	1	41
HQ906958.1.1385	180	746	513	213	470	1351	930	505	1580	745	1528	2381	719	932	1169	1540	1406	445	1415	2411	1980	1835	1569	1445	1417	1609	2429	1482	2324	1222	1981	1379	18	13	10	18	3	0	0	0	2	3	2	13	1	1	0	2	1	2	1	3	3	2	0	0	1	0	0	2	1	1	1	1	7	0
OTU_dn_2403	37	22	12	20	0	6	4	8	2	7	20	4	10	6	12	10	6	13	12	2	11	2	12	10	17	7	8	18	7	12	2	2	11	6	3	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2510	13	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LM994064.1.1410	211	695	222	362	362	536	471	254	349	485	361	466	615	304	339	199	397	330	386	375	395	270	638	378	486	340	445	758	380	370	216	333	278	245	158	279	551	548	482	537	906	726	1086	975	565	993	1355	1128	847	1390	1147	1322	881	988	1039	937	714	846	1296	993	851	980	1269	440	930	847
GQ202671.1.1419	520	145	188	604	446	393	352	141	167	212	279	422	258	156	171	136	272	159	120	215	388	249	409	503	376	160	418	664	397	85	192	183	6	12	10	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
KF010745.1.1485	59	99	158	100	42	66	33	60	35	133	44	58	86	48	50	71	26	105	70	90	53	33	87	60	172	113	36	63	30	91	19	33	0	1	1	6	0	0	0	1	3	5	2	4	1	2	4	4	6	9	5	6	18	31	3	0	1	3	3	0	8	7	6	1	7	2
KF712718.1.1503	250	90	76	271	1	80	39	68	2	43	38	12	35	6	10	7	11	139	1	5	15	7	57	11	15	6	38	6	18	7	3	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
JF219557.1.1314	5	7	2	4	12	5	5	3	6	8	7	15	14	16	12	5	9	3	18	16	6	23	9	14	5	9	4	9	9	9	10	15	27	13	22	23	1	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
GU305772.1.1500	52	24	115	31	52	54	41	36	76	45	76	51	60	45	20	38	125	58	54	88	88	83	63	99	308	94	70	269	139	43	85	80	2	2	6	5	3	5	1	0	0	1	2	2	1	2	3	1	2	7	1	7	6	6	1	4	1	5	2	3	8	3	11	4	0	5
FR753119.1.1437	156	98	234	157	129	175	86	263	167	230	82	118	111	100	123	105	115	235	131	115	168	177	116	122	122	214	152	73	199	51	241	138	0	0	0	0	0	0	0	0	28	45	7	118	3	12	3	4	7	8	10	23	13	18	2	4	21	3	2	14	34	2	14	4	33	4
HQ118376.1.1485	13	36	21	14	24	28	23	10	22	24	45	23	33	19	21	16	24	24	25	30	28	10	38	28	36	30	20	43	20	27	13	35	52	34	7	28	19	15	17	8	57	59	112	62	50	109	71	41	59	145	157	134	74	111	99	77	51	57	172	62	58	114	131	31	62	52
OTU_dn_8857	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HE653819.1.1489	144	244	104	232	219	240	244	134	136	214	82	160	288	93	110	101	109	161	118	111	121	98	309	190	117	67	206	159	130	67	127	99	23	33	41	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KC331363.1.1504	58	89	21	87	16	23	83	15	22	38	16	26	68	25	36	27	37	24	28	23	9	7	41	27	32	15	37	49	14	37	24	28	87	60	77	86	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1
KC994703.1.1521	36	53	26	48	12	81	38	20	4	62	16	2	38	12	7	4	8	37	1	1	12	7	23	7	4	20	17	11	4	5	5	4	4	15	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN570710.1.1362	122	48	25	118	7	12	11	19	11	32	44	13	9	25	33	12	22	21	11	9	14	10	48	16	42	36	65	11	9	30	12	5	7	6	6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB272318.1.1241	509	1	266	452	74	1	57	30	80	150	0	1	109	0	18	1	0	125	0	3	0	0	0	0	0	0	2	106	1	6	5	59	0	0	0	0	0	1	4	3	2	0	0	0	1	1	41	0	2	7	2	1	7	5	20	2	12	1	0	0	4	1	1	1	1	18
FN421523.1.1393	1297	502	1792	1067	1097	814	413	1292	500	1281	198	1098	558	130	146	214	198	850	311	1498	536	253	889	914	712	874	726	327	221	79	257	268	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ645174.1.1488	618	235	222	460	95	269	94	139	25	213	115	66	150	74	55	26	39	149	83	51	75	79	124	58	98	148	207	28	63	33	66	25	5	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU731266.1.1363	176	581	94	331	566	457	373	157	230	331	243	120	392	114	135	162	197	245	148	169	155	155	481	175	381	161	155	302	79	108	59	176	46	33	15	33	0	0	0	0	0	2	1	3	0	0	1	2	0	1	0	0	0	0	0	1	2	0	4	0	1	1	2	1	1	0
JN662331.1.1469	11	25	3	24	17	8	19	3	23	8	9	15	22	18	11	16	10	2	14	10	7	10	9	9	15	12	20	26	14	15	14	15	17	18	12	18	0	0	0	1	2	0	3	1	0	1	3	2	1	0	0	2	2	3	0	0	1	3	1	2	0	0	3	0	1	0
FJ546400.1.1213	85	16	57	207	11	9	12	4	0	23	0	4	14	3	1	0	2	10	0	3	2	1	2	2	0	3	5	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ284428.1.1479	778	137	204	520	4	12	21	9	8	26	42	9	34	16	19	5	1	11	3	12	5	6	55	23	37	2	30	7	5	4	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ288947.1.1291	25	19	13	41	23	37	27	10	9	19	9	20	16	13	15	16	31	5	13	14	26	16	27	49	105	8	38	56	40	15	24	43	8	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	4	0	1	0	1	2	20
FM209333.1.1493	77	446	214	164	71	334	79	166	129	220	148	114	270	204	270	189	144	142	197	74	299	97	361	233	375	280	186	319	225	383	65	67	14	8	4	22	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0
AB974259.1.1427	133	149	320	118	160	181	308	630	2	536	17	12	68	2	1	1	4	600	1	23	16	6	63	22	2	10	12	44	6	0	4	6	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF516625.1.1481	3	4	9	0	2	5	5	4	6	3	3	5	2	12	4	2	2	3	3	6	5	6	5	1	10	4	16	0	3	1	4	2	13	17	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ936901.1.1446	578	103	107	898	22	95	81	59	25	141	54	37	94	36	44	35	42	105	22	40	23	17	54	45	65	54	38	90	24	47	7	25	41	33	15	27	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
AY792241.1.1440	32	23	56	47	11	9	14	23	33	10	27	50	7	11	13	16	31	74	13	26	37	16	24	22	38	14	30	13	43	13	155	59	8	3	3	13	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	11
EF018585.1.1350	11	39	2	23	42	26	39	5	36	21	35	36	34	31	33	37	48	14	42	27	29	43	19	49	32	27	36	53	19	32	32	44	110	53	45	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ490465.1.1485	183	0	37	60	0	28	3	1	3	4	0	19	1	1	2	1	7	1	4	11	2	8	0	1	3	29	0	4	1	0	0	0	0	0	0	0	0	0	0	0	8	0	3	2	4	0	1	2	0	3	0	8	0	2	0	0	0	2	2	4	7	0	3	1	0	8
JF135626.1.1327	9	47	11	11	20	26	32	17	54	24	8	34	43	37	26	9	27	14	28	15	37	20	44	20	3	6	24	21	11	13	23	15	13	13	8	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_5021	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM187195.1.1469	5	9	0	4	5	4	9	4	14	2	6	8	9	6	8	5	10	0	13	1	4	4	1	5	6	6	7	9	2	6	5	11	27	10	30	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM935389.1.1375	2	3	3	3	2	2	2	2	9	1	7	9	5	31	14	10	12	1	18	5	12	6	9	5	5	10	16	34	6	6	4	5	51	63	70	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX406196.1.1491	740	288	829	573	95	78	27	120	17	148	45	17	171	53	21	32	34	227	70	73	37	17	99	71	74	30	20	59	16	25	5	15	1	1	0	0	0	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	31	0	0	0	26	149	0	0	0	0	0
FN421585.1.1365	135	373	161	214	100	174	150	189	150	259	97	119	126	101	79	271	193	96	86	217	107	134	131	119	271	133	109	277	87	90	58	194	37	53	14	22	6	1	2	3	79	24	30	32	17	15	24	12	26	9	11	71	17	8	13	8	7	6	21	28	14	21	159	7	120	36
FM209319.1.1474	21	28	10	45	102	96	88	36	572	67	321	204	55	54	148	262	192	48	181	346	212	259	48	283	183	127	246	94	433	391	481	226	39	30	24	54	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	2	1	1	0	0	0	0	1	3	0	0	0	1	2	0
FN794255.1.1445	17	41	52	19	33	71	36	81	36	113	56	69	54	22	39	28	39	71	36	43	50	37	44	18	71	55	63	25	37	12	29	35	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_dn_438	9	25	2	15	5	2	4	2	2	12	3	0	5	4	8	8	1	12	3	4	6	2	2	1	1	1	1	0	2	7	7	1	6	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_689	21	4	1	9	0	2	5	1	0	5	0	0	4	1	3	0	2	2	0	0	4	0	1	0	1	2	0	1	3	1	0	0	2	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM269108.1.1360	70	186	38	61	107	83	148	45	101	158	50	33	143	39	37	76	82	73	94	84	57	27	40	26	114	25	34	40	35	21	14	37	2	4	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FM872861.1.1446	306	510	488	235	1437	864	789	408	566	841	857	462	586	203	266	481	637	683	526	465	375	504	679	1166	1127	626	532	982	494	334	288	924	1	0	0	0	5	7	14	10	45	34	37	44	28	26	34	8	27	28	31	30	39	14	15	34	24	19	38	67	88	23	64	20	25	26
OTU_dn_10074	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2	294	1393	404	362	590	524	377	1489	25	1483	81	6	534	7	19	2	8	1301	29	10	34	13	157	16	104	3	13	4	8	0	4	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF516726.1.1416	7	4	0	2	4	2	5	0	2	1	3	0	2	3	5	1	2	1	2	1	2	1	3	1	0	0	2	1	0	3	1	3	11	8	7	12	7	7	6	6	7	14	25	15	18	28	23	20	33	21	33	26	24	16	33	24	23	11	30	12	8	21	24	9	12	16
FN421497.1.1383	513	189	613	371	378	259	140	413	138	412	72	371	209	49	55	78	64	249	96	455	169	82	306	260	185	259	258	118	74	27	80	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_73	10	36	7	18	57	23	21	12	38	17	17	29	28	32	30	27	38	24	33	30	31	28	43	34	23	28	22	25	21	29	34	31	62	78	82	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_234	1	9	1	1	14	8	12	3	20	0	7	10	15	4	9	52	3	1	20	25	14	1	1	6	16	3	4	9	2	2	0	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_11765	4	6	1	1	0	0	3	0	4	1	6	2	1	3	0	1	4	0	7	2	5	3	2	1	1	0	4	4	2	4	5	1	6	3	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ389063.1.1478	399	261	442	597	364	397	224	225	368	552	771	484	376	224	184	441	453	480	328	396	278	406	423	594	1109	1120	635	1028	359	364	220	824	17	16	23	16	0	0	0	0	3	1	3	0	26	0	2	0	1	0	0	1	0	16	0	4	84	3	0	12	7	0	0	0	1	3
JF167878.1.1326	34	66	69	94	14	20	44	135	4	39	1	3	17	3	1	7	0	91	1	3	2	5	6	5	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ118960.1.1448	26	172	42	18	457	596	911	223	298	306	65	63	457	22	86	10	177	128	85	67	76	67	117	184	54	111	35	293	160	14	46	118	0	0	0	0	0	0	0	4	21	64	21	9	21	3	7	21	2	5	2	19	2	25	125	25	24	65	0	21	0	0	1	10	6	7
OTU_dn_66	25	25	11	29	27	25	26	10	21	16	3	24	38	19	24	11	11	13	22	23	30	17	29	20	8	4	29	16	25	17	26	18	23	40	25	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_370	71	100	18	45	3	11	13	13	2	13	5	1	15	2	8	5	9	34	2	2	5	1	4	3	4	11	1	0	3	0	1	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF516017.1.1449	7	3	0	5	23	26	23	4	1	4	1	1	13	0	3	1	0	2	6	2	4	2	2	1	1	6	2	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_6107	2	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_813	34	18	3	33	0	3	8	0	0	4	12	3	3	10	14	2	4	5	2	1	6	4	4	10	1	3	9	15	4	2	3	0	15	22	5	24	0	0	20	6	8	13	3	16	4	0	3	11	0	6	2	1	1	2	1	0	3	13	0	0	0	1	4	6	9	17
AY425762.1.1402	229	542	150	326	392	340	235	174	150	345	194	154	380	109	123	101	219	219	141	166	111	166	175	111	289	262	134	173	92	145	82	124	19	13	16	27	0	0	0	0	1	1	0	2	0	0	2	0	0	3	1	0	2	8	2	1	0	0	6	4	10	4	4	5	0	0
HM061947.1.1403	52	65	35	69	28	49	60	14	44	43	58	48	84	96	132	45	43	39	65	39	59	48	38	49	31	49	67	95	62	40	55	67	211	202	100	139	484	570	563	458	401	297	498	327	458	387	448	411	472	390	413	436	440	362	507	487	466	385	413	435	246	339	399	342	360	352
EF516949.1.1445	1	0	0	0	3	1	2	0	5	1	1	2	1	1	1	1	3	0	5	1	0	5	1	3	1	2	1	5	0	10	5	4	11	6	1	4	0	0	1	1	0	0	1	0	1	0	1	3	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1
KF712867.1.1523	15	18	9	12	15	13	23	6	36	17	19	30	17	56	47	26	30	3	47	28	31	33	22	26	12	31	51	47	27	26	31	34	100	125	115	99	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AM411962.1.1365	32	120	33	44	55	110	184	84	86	105	45	155	148	26	53	55	47	103	69	79	46	31	183	59	79	41	96	30	46	44	54	51	8	6	9	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ404706.1.1495	24	31	14	54	10	23	23	14	15	31	3	12	26	26	29	15	25	19	22	17	18	11	22	5	7	11	24	33	14	10	8	12	20	11	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_7133	109	108	14	222	40	7	44	16	5	37	3	3	44	3	6	0	0	20	1	3	8	0	13	7	4	1	7	26	4	0	2	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU223940.1.1532	11	8	3	23	18	8	24	4	14	7	1	8	12	7	4	3	8	6	15	11	12	6	12	13	2	2	9	3	20	4	9	9	10	15	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2279	27	0	1	17	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB672163.1.1441	34	91	14	45	56	60	64	50	59	37	40	72	85	62	74	17	59	33	70	24	51	40	52	42	38	28	68	36	36	16	57	53	112	59	25	79	7	6	2	2	1	2	2	2	4	6	2	3	3	4	4	6	4	1	3	3	3	1	1	3	0	2	3	1	4	5
FJ946541.1.1290	132	142	29	229	13	68	80	47	32	56	22	60	45	18	26	40	23	99	18	39	56	17	96	22	66	10	54	23	17	6	9	20	14	12	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_dn_3132	1	0	0	0	1	0	2	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM007102.1.1463	35	18	16	4	4	36	14	8	10	14	3	8	10	9	14	6	5	18	11	5	14	4	38	9	9	12	20	1	17	4	4	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_302	17	49	8	10	2	6	10	7	0	14	14	5	5	4	5	6	4	12	0	0	0	1	79	5	6	0	3	0	0	1	0	0	0	1	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ232684.1.1339	44	34	13	33	43	20	24	15	31	32	9	15	24	17	26	13	19	22	30	27	34	29	18	19	16	17	22	11	17	7	19	18	15	25	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1287	17	5	1	10	1	0	1	0	0	2	0	0	1	0	0	0	0	6	1	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU451166.1.1380	77	25	169	187	12	0	31	1	0	0	0	0	0	0	0	1	0	48	0	17	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
OTU_dn_981	6	1	3	4	4	2	2	5	4	2	2	2	1	1	2	0	4	8	1	1	6	9	2	3	1	4	1	0	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HF548406.1.1395	249	839	161	418	583	581	631	294	825	422	416	781	1029	382	505	634	786	319	833	692	383	291	788	463	548	275	440	1004	445	588	312	823	389	443	420	521	40	31	83	39	748	1157	489	1124	226	496	395	218	300	314	570	568	171	238	234	245	313	333	746	199	231	486	684	86	385	378
HM061839.1.1442	10	69	27	28	31	63	71	53	76	51	38	74	64	48	39	47	40	71	44	81	72	44	69	43	64	42	76	66	66	21	61	52	26	36	14	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX222852.1.1443	300	277	248	328	406	345	244	127	181	254	120	131	179	35	43	178	144	291	247	235	83	34	184	218	242	135	110	148	34	63	11	260	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
