	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900	ERR2523251	ERR2523252	ERR2523253	ERR2523254	ERR2523255	ERR2523256	ERR2523257	ERR2523258	ERR2523259	ERR2523260	ERR2523261	ERR2523262	ERR2523263	ERR2523264	ERR2523265	ERR2523266	ERR2523267	ERR2523268	ERR2523269	ERR2523270	ERR2523271	ERR2523272	ERR2523273	ERR2523274	ERR2523275	ERR2523276	ERR2523277	ERR2523278	ERR2523279	ERR2523280
JF175051.1.1367	0	1	0	1	1	1	1	0	2	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	3	1	2	1	3	6	4	1	5	5	1	3	1	7	7	3	3	7	1	5	1	1	2	0	1	6	4	3	2
OTU_dn_7314	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ730614.1.1396	0	2	1	1	1	1	1	0	0	1	1	0	2	5	9	4	0	0	8	1	1	2	0	2	0	0	1	6	1	7	3	0	15	29	4	5	91	110	137	148	53	41	102	22	65	65	117	102	93	83	89	84	92	91	78	118	81	67	84	85	43	69	80	40	87	73
AF465651.1.1490	0	1	0	0	0	0	0	0	0	0	2	2	0	1	4	0	0	1	0	2	0	0	1	0	2	2	1	0	0	2	1	0	7	8	6	2	32	34	26	24	13	5	4	7	11	10	12	17	15	8	12	5	18	4	11	12	10	6	8	15	4	10	11	7	7	15
AJ534627.1.1283	0	1	0	0	0	0	0	0	0	1	1	2	2	2	0	0	3	0	2	1	0	1	2	2	0	2	2	3	1	4	1	1	4	3	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF018711.1.1346	0	1	0	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	2	0	1	3	0	5	0	0	0	0	0	3	0	1	0	1	0	0	0	5	1	1	2	6	1	1	1	0	0	1	3	5	4
OTU_dn_4596	0	1	0	1	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3236	0	1	0	0	0	0	2	0	0	0	1	0	0	2	5	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1784	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	1	0	0	7	1	7	1	0	0	6	3	2	5	5	2	5	0	4	0	5	13	2	0	1	1	3	1	0	1
EF516638.1.1454	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	2	1	1	0	0	0	1	2	2	0	1	6	2	0	0	5	2	0	2	3	6	5	1	0	1	1	0	0	2	1	0	0	2	1	4	3	1	3	1	0	0	1	1	2	5	4	2	2
HQ597990.1.1508	0	2	0	0	9	2	2	3	12	1	2	6	3	9	12	1	6	1	11	5	7	8	7	3	4	4	3	11	3	8	12	5	23	20	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1872	0	2	1	2	0	0	0	0	1	1	0	5	0	2	4	2	1	0	0	4	1	7	1	4	7	0	0	0	1	0	0	1	3	6	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KP687073.1.1449	0	1	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KJ161412.1.1418	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2659	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	1	1	0	3	3	4	0	1	1	3	0	1	1	5	2	1	1	2	1	0	5	2	1	2	1	1	2
OTU_dn_10383	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KM016283.1.1475	0	1	0	1	0	0	1	0	1	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_9185	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU133601.1.1341	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_4365	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU801531.1.1484	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	1	2	0	0
FN984864.1.1396	0	2	0	1	1	0	0	1	1	4	1	2	4	1	0	1	1	4	0	1	1	0	0	0	6	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_2519	0	2	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_6114	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF019260.1.1382	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	2	0	3	0	0	5	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	4	0	1	0	0	3	2	0	0	0	0	0	0	1	0	1	1	0	1	0
