	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc1	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
ZOTU426	1	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	3	0	2	0	0	0	0	0	0	0	0
ZOTU98	4	3	3	11	11	2	1	0	0	0	0	1	0	3	1	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	1	2	1	5	1	4	4	0	4
ZOTU108	1	0	0	0	0	2	0	1	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ZOTU178	3	3	6	1	6	2	0	4	12	42	4	4	4	66	6	5	1	2	7	17	4	5	22	41	32	1	55	3	38	4	48	0	3	2	25	3	6	5	33
ZOTU400	1	3	0	0	0	2	0	0	10	7	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	4	0	0	0	1	0	0	0	4	0	1	0	0
ZOTU71	1	2	3	1	2	4	7	5	22	11	4	23	6	109	7	5	7	3	18	4	2	3	36	35	130	6	258	19	116	16	69	2	10	10	171	16	16	18	154
ZOTU68	6	11	9	12	4	7	13	7	82	124	0	3	4	6	10	19	19	17	34	10	18	15	59	106	57	1	96	6	112	9	61	3	6	26	137	7	7	0	18
ZOTU120	1	3	4	2	27	55	67	6	9	73	0	0	0	2	2	0	2	52	84	24	6	0	109	14	75	0	13	4	21	2	19	76	18	29	37	43	12	0	8
ZOTU283	2	0	0	0	1	0	1	0	1	1	1	0	0	17	0	0	0	1	0	5	0	0	6	2	7	0	8	0	3	0	3	2	1	3	17	1	3	1	9
ZOTU197	6	4	5	1	0	2	1	2	8	0	0	0	0	6	7	2	5	1	7	2	3	5	28	37	16	0	14	4	8	2	29	1	10	2	4	1	3	4	13
ZOTU293	1	2	0	2	0	1	0	0	1	4	0	2	0	11	6	3	2	6	12	10	6	4	14	15	12	0	7	0	11	2	4	0	0	0	7	0	1	0	11
ZOTU308	1	0	0	0	0	0	0	2	0	2	0	6	0	11	2	0	0	1	0	0	1	0	0	0	0	0	5	0	1	1	6	0	0	0	0	0	0	0	0
ZOTU53	3	10	4	5	6	29	17	3	30	118	0	1	1	8	12	13	10	4	17	14	15	7	64	31	214	2	304	19	383	38	284	2	4	1	36	15	9	7	48
ZOTU270	1	2	2	0	0	0	2	1	3	12	3	6	1	48	0	2	8	1	4	7	2	1	10	14	29	0	28	5	39	1	36	3	5	13	50	7	7	3	34
ZOTU262	3	0	1	1	0	1	1	0	4	1	0	0	0	1	1	0	2	2	3	3	2	0	6	0	23	0	17	1	11	5	4	0	0	0	0	0	0	0	4
ZOTU417	2	1	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ZOTU190	3	6	14	6	8	0	9	2	14	15	0	0	0	3	1	0	0	3	0	0	0	0	4	2	13	2	43	4	25	2	10	1	1	1	27	2	7	2	16
ZOTU517	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	4	0	1	2	0	0	0	0	0	0	0	1	1
ZOTU81	1	1	0	1	0	1	0	0	0	0	4	4	27	53	7	2	85	309	48	10	23	2	55	8	14	0	13	4	18	17	27	41	9	42	42	35	36	15	14
ZOTU56	4	2	0	1	1	4	4	4	36	30	54	66	70	443	3	4	7	1	3	3	4	4	17	4	11	1	13	3	21	4	10	22	23	41	604	43	21	16	254
ZOTU307	2	0	1	1	1	0	0	0	6	16	0	0	0	8	3	2	0	0	1	3	0	0	3	0	4	0	3	0	8	2	11	0	0	0	0	0	0	0	0
ZOTU492	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	0	3	0	1	0	0	0	0	0	0	0	1
ZOTU103	1	1	3	2	2	1	12	0	3	6	1	1	2	60	9	5	0	1	16	0	9	6	120	69	11	2	62	8	29	5	124	7	22	3	143	53	20	20	237
ZOTU226	1	0	0	0	1	0	1	0	2	8	0	0	0	0	6	5	8	8	10	10	5	3	66	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU161	1	1	2	0	0	0	1	2	6	11	2	5	4	21	1	0	0	0	0	1	0	2	5	0	56	1	109	12	71	14	29	0	0	0	0	0	0	0	1
ZOTU279	1	1	0	2	0	0	0	0	1	2	0	0	0	7	2	0	0	1	0	2	1	0	16	0	5	0	12	0	1	0	1	0	0	0	14	6	6	3	23
ZOTU131	3	2	3	0	3	0	7	0	4	26	0	6	0	0	3	0	1	2	3	3	5	4	6	15	39	3	33	6	18	1	20	0	0	0	0	0	2	0	21
ZOTU496	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	5	0	0	0	1
ZOTU235	1	0	1	0	1	1	1	0	3	6	4	0	1	11	1	1	2	0	1	1	0	2	2	4	0	0	1	0	1	0	0	2	3	24	144	0	0	1	1
ZOTU336	2	0	1	0	1	0	0	0	10	18	0	3	0	9	0	0	0	0	0	0	0	0	0	0	2	0	3	0	4	0	1	0	1	0	5	0	0	0	0
ZOTU309	1	0	1	0	0	0	0	0	3	15	0	1	1	11	1	3	0	2	0	1	2	0	10	1	12	0	9	0	0	0	3	2	0	0	2	0	0	0	3
ZOTU410	1	4	3	0	0	0	1	0	4	6	0	0	0	3	1	0	0	0	1	0	0	0	3	2	0	0	0	0	1	0	9	3	0	0	3	2	0	0	5
ZOTU523	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	3	1	0	0	0	0	0	0	0	0
ZOTU114	0	21	26	14	55	43	15	4	5	16	0	0	0	1	5	6	0	0	8	0	3	0	0	0	11	0	39	6	12	1	8	2	0	0	0	0	0	0	1
ZOTU258	0	2	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	1	2	0	6	3	2	2
ZOTU65	0	1	0	0	1	0	0	0	0	0	7	4	8	12	3	0	29	11	23	16	43	23	20	11	1	0	0	0	0	0	1	7	11	9	16	18	327	18	20
ZOTU150	0	2	0	0	0	0	0	0	1	2	0	0	0	1	1	1	0	0	0	0	0	0	6	3	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ZOTU366	0	15	1	2	2	4	3	4	6	17	1	2	2	7	3	12	0	4	2	2	3	2	32	4	10	4	42	3	41	8	41	0	4	4	26	6	2	4	4
ZOTU146	0	7	4	0	3	4	9	2	19	28	7	2	11	72	2	3	8	7	7	21	13	10	61	38	36	0	39	6	53	16	61	11	9	8	101	6	8	10	54
ZOTU96	0	1	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	100	3	122	13	291	45	129	0	0	0	2	1	0	2	2
ZOTU321	0	1	0	0	0	0	0	0	0	0	5	6	19	50	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	21	0	0	0	7
ZOTU454	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU274	0	1	1	0	0	0	3	1	6	3	0	0	4	10	1	0	4	1	0	4	4	3	9	6	4	0	10	1	11	1	7	2	0	0	14	0	2	0	10
ZOTU257	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU479	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	3	2	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU251	0	1	4	0	0	2	0	0	0	1	0	0	0	1	2	2	0	0	2	0	0	0	0	13	0	0	0	0	3	0	10	2	2	1	24	5	1	5	48
ZOTU502	0	1	0	0	0	0	0	1	3	2	3	3	6	24	1	0	2	1	7	0	0	1	2	10	7	0	10	3	3	0	3	0	0	0	17	0	2	0	4
ZOTU303	0	3	1	0	0	2	3	6	7	5	0	0	0	0	1	0	2	1	1	3	3	6	25	11	18	0	28	2	10	3	14	0	0	0	0	0	0	0	0
ZOTU351	0	7	3	1	2	3	1	3	18	17	10	19	8	159	3	3	0	1	4	3	3	4	9	3	12	0	18	0	8	4	21	4	2	5	122	9	7	3	65
ZOTU478	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	10	0	1	0	1	0	0	0	0	2	2	0	6
ZOTU524	0	1	0	0	0	1	3	1	0	1	4	3	4	6	1	1	0	0	0	1	2	0	5	1	2	1	0	0	2	0	3	1	0	4	3	0	2	1	1
ZOTU192	0	1	6	2	9	2	20	5	34	63	0	0	0	1	0	0	3	1	1	24	0	2	36	30	8	0	11	0	12	3	4	0	0	0	0	1	0	0	8
ZOTU277	0	1	0	0	3	0	0	0	0	4	1	3	0	19	3	0	0	2	2	3	3	0	28	5	5	0	5	0	9	1	8	0	0	2	9	2	0	1	7
ZOTU459	0	1	2	0	1	0	4	0	1	11	0	0	0	0	0	1	0	0	0	1	0	0	7	6	1	0	3	0	1	1	2	0	0	0	2	1	0	0	1
ZOTU392	0	3	0	0	0	0	0	0	3	10	0	4	5	17	2	3	0	0	0	0	3	0	5	0	0	0	2	2	7	1	1	0	0	0	0	1	0	0	0
ZOTU224	0	1	0	0	0	1	1	0	2	2	0	0	1	8	2	0	0	0	1	1	1	0	3	1	2	0	5	1	1	1	2	0	0	0	0	0	0	0	2
ZOTU422	0	8	3	0	0	2	4	4	12	28	0	2	0	1	3	0	0	0	0	0	0	0	0	0	12	0	22	5	12	2	6	0	0	0	0	0	0	2	0
ZOTU343	0	5	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	11	10	6	0	5	1	10	2	12	0	0	0	1	0	0	0	0
ZOTU461	0	3	1	0	0	2	0	1	5	6	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZOTU296	0	2	0	0	1	0	0	3	11	7	1	1	1	20	0	1	4	0	2	0	0	1	11	0	8	0	13	0	4	2	25	0	0	0	1	0	0	0	0
ZOTU472	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0
ZOTU467	0	7	0	0	8	0	2	0	0	0	1	1	1	4	1	0	1	5	0	0	0	0	0	1	2	0	1	0	2	0	3	0	0	4	1	2	4	0	9
ZOTU101	0	1	0	0	4	2	2	4	2	5	4	7	16	89	1	0	4	0	0	8	2	2	21	1	14	0	71	5	20	0	34	44	5	9	138	13	45	41	136
ZOTU61	0	1	0	1	0	1	0	4	1	15	15	19	41	285	0	1	0	0	1	24	1	1	50	12	17	0	13	0	14	2	57	94	34	50	463	28	30	60	252
ZOTU456	0	2	4	1	1	8	2	3	10	60	0	0	0	0	5	2	2	2	3	0	4	0	39	6	0	0	0	0	1	0	0	1	2	2	13	1	0	0	5
ZOTU468	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	1	2	3	1	1	1	1	0	0	0	0	1	0	2	1
