COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkcITS	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1cITS	SVERCc1	SVERCc2cITS	SVERCc2	SVERCc3cITS	SVERCc3	SVERCcbulkcITS	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
OTU836	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1318	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3	4	0	0	0	0	0	0	2	0	2	593	89	840	2889	1599	8634	2767	1940	11773	464	1468	2633	4349	2187	328	32	437	35	0	34	110	11	36	2	5	6	21	1	42
OTU1149	27	2	4	7	3	0	22	14	57	24	3046	1114	1432	11029	18	18	18	38	55	82	48	74	449	29	213	157	673	103	1008	156	462	232	1864	1634	4359	507	411	566	4304
OTU407	4	24	0	0	2	6	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	14	0	10	0	0	0	0	0	0	0	0	0
OTU151	13	274	18	4	2	1	19	0	110	29	9	7	7	362	0	5	0	0	0	24	5	25	89	60	132	0	0	0	0	6	247	0	12	0	6	6	0	2	56
OTU7	97	47	17	15	18	28	40	128	193	183	751	249	584	4130	1047	572	194	310	116	323	318	425	2878	1210	1797	131	1098	133	383	144	806	20	39	10	116	60	38	38	112
OTU2	4	1	0	0	0	0	2	0	20	5	384	242	393	5137	111	88	21	90	109	55	59	119	502	520	13150	2641	13633	3266	16440	3927	16182	0	0	0	0	0	0	0	0
OTU1523	41	24	9	5	8	16	5	1	101	47	409	645	252	3793	118	114	16	267	152	206	58	84	654	520	6332	742	4617	897	6308	824	5173	5	5	6	40	9	18	11	187
OTU1501	4	37	5	3	9	13	0	8	36	33	65	99	81	787	101	178	73	165	51	392	105	46	470	186	51	53	99	21	328	64	53	27	81	122	143	72	116	80	123
OTU502	2	0	0	0	0	0	0	0	0	0	0	9	0	5	0	0	0	0	0	1	0	0	0	0	0	3	0	0	35	0	0	0	0	0	0	0	8	0	16
OTU1152	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1132	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU316	6	17	11	0	17	10	0	0	48	6	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU143	15	183	56	5	6	0	0	0	38	89	0	0	0	0	31	35	1	10	1	34	15	8	218	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU65	57	40	50	109	0	648	776	0	42	35	15	13	21	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	4	167	0	1	0	5	0	1	0	10
OTU159	6	22	4	5	1	15	3	7	25	27	0	0	0	2	40	38	2	8	9	17	11	1	88	98	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
OTU1337	26	12	5	13	7	23	3	5	110	40	0	0	0	0	21	65	8	0	6	5	4	20	57	12	0	3	248	6	123	0	13	0	0	0	0	0	0	0	0
OTU1690	6	0	26	0	0	7	0	3	0	0	0	0	0	0	21	3	3	4	0	0	5	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1670	8	42	15	9	29	182	49	24	305	357	0	1	2	34	2	31	9	15	7	0	5	43	62	66	12	5	0	21	20	6	25	2	7	2	961	5	9	11	2
OTU10	3	0	5	3	2	0	0	0	0	13	352	819	520	3885	308	539	372	244	89	1321	225	211	2897	1239	142	13	75	4	43	21	68	14	133	241	220	84	76	784	685
OTU575	1	5	2	2	4	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU325	5	5	2	2	0	2	0	0	39	21	0	3	0	13	1	2	7	9	0	18	0	4	29	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU269	2	2	1	2	3	8	11	17	21	66	0	0	0	0	0	0	0	0	0	37	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1224	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1100	2	0	0	0	0	0	0	0	0	0	5	2	0	12	0	7	2	0	2	2	6	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU227	3	0	33	0	2	61	1	0	20	36	0	0	0	0	0	0	0	0	8	0	0	22	89	0	37	4	0	4	0	2	9	0	0	0	0	0	0	0	0
OTU511	5	0	0	5	2	6	4	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU832	5	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU514	10	1	7	0	0	0	15	0	8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1136	2	0	0	0	0	0	0	0	0	2	1427	336	606	4807	0	0	0	0	0	0	0	0	0	0	0	0	1349	0	0	0	1	2	3	11	29	3	4	11	29
OTU693	9	3	0	0	2	2	1	0	5	0	0	1	1	8	7	3	0	2	2	3	7	1	0	1	0	2	0	0	0	5	0	0	5	0	0	0	0	1	0
OTU261	27	0	59	1	0	0	0	0	22	48	0	0	0	0	2	7	0	0	0	0	0	8	17	12	54	32	94	0	0	1	0	0	0	0	0	0	0	0	0
OTU152	4	0	0	5	2	0	0	0	1	7	6	41	7	58	15	18	4	2	8	4	17	1	63	12	229	6	117	12	139	20	22	0	0	0	0	0	0	0	0
OTU424	8	7	9	3	1	0	6	0	3	7	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU349	9	17	2	8	7	0	221	7	97	75	79	36	18	112	51	66	20	64	24	131	71	62	271	189	5126	819	3429	1026	7291	722	3324	0	1	10	38	1	1	8	66
OTU1041	1	3	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU230	2	0	1	1	0	12	1	0	4	3	0	0	1	0	1	2	0	2	0	2	0	0	12	9	75	12	147	26	46	26	11	0	0	0	1	0	0	0	0
OTU8	9	51	0	645	6	3	8	4	344	31	0	0	0	0	13	14	3043	697	0	0	11761	18	20	1102	45	6	0	34	766	2	20	54	96	0	0	0	6	0	0
OTU203	19	25	49	3	5	49	34	28	17	16	0	0	0	0	1	0	0	0	0	0	1	7	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU369	1	0	2	2	0	0	1	0	5	2	0	0	0	0	6	0	0	0	0	0	0	0	8	6	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
OTU1347	17	0	0	434	0	0	7	115	3	0	0	0	0	0	174	82	144	3360	771	0	852	57	129	879	164	20	0	136	245	7	131	44	17	0	1	1	1	69	0
OTU1087	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU947	2	7	0	2	6	7	2	5	41	46	0	9	0	56	3	0	29	0	0	12	0	0	0	0	0	2	0	0	0	0	0	15	3	11	26	1	13	11	103
OTU77	8	367	50	17	4	37	10	2	123	53	0	0	0	0	13	23	7	9	5	9	59	15	1345	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	9	20	31	26	18	34	17	16	87	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU156	16	4	0	0	0	3	14	17	42	84	0	0	0	0	5	0	7	77	0	9	0	16	43	6	63	9	0	23	0	2	28	0	0	0	0	0	0	0	0
OTU162	15	18	12	6	7	41	55	10	52	169	0	0	0	0	4	1	0	0	3	0	0	0	32	28	0	0	0	0	0	0	0	0	18	2	44	0	0	0	17
OTU160	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	7	0	0	3	0	13	0	0	0	0	0	0	0	0	0	359	36
OTU458	3	0	0	0	0	0	15	0	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	7	0	0	0	9	0	3	2	0	0	0	0	0	0	0	0
OTU508	3	1	0	3	0	4	0	0	0	0	0	2	1	0	4	1	2	8	0	0	5	4	0	0	0	0	0	1	0	2	0	0	2	1	0	0	2	0	0
OTU464	4	0	1	0	2	1	29	0	0	2	0	0	0	0	0	0	1	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU492	9	4	4	0	0	1	1	3	7	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	0	0
OTU1582	1	3	0	0	2	12	1	0	21	11	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU295	1	0	0	0	49	0	0	0	92	0	0	0	0	1	0	0	17	0	0	0	0	0	0	22	0	4	0	0	0	0	30	0	0	0	0	0	0	0	0
OTU286	3	3	4	7	2	4	8	3	5	7	0	0	0	0	2	8	2	5	0	0	3	0	13	4	2	0	13	3	3	3	19	0	0	0	0	0	0	0	0
OTU1559	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU451	7	90	8	0	0	1	1	0	13	2	0	0	0	0	0	0	1	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1234	6	24	21	1	15	8	0	1	16	23	2	25	2	48	620	950	117	206	187	252	344	232	2340	1556	0	0	221	0	12	2	5	21	272	115	588	238	228	322	2929
OTU317	2	9	7	54	1	17	17	6	51	62	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU709	1	4	0	2	0	6	4	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU192	3	2	10	0	3	2	0	10	6	21	0	0	0	0	24	3	2	14	1	12	7	8	80	24	0	7	20	0	156	5	49	0	0	0	0	0	0	0	0
OTU1471	4	14	5	9	3	19	2	3	85	84	0	0	0	0	1	6	9	7	10	7	11	3	89	59	9	0	27	0	67	0	6	6	3	5	34	0	0	7	33
OTU5	1	12	106	20	0	0	0	9	911	0	1239	42	101	2158	1033	340	130	37	131	2048	1020	910	4841	3781	2008	365	1014	55	1378	185	917	191	968	1347	1271	325	577	264	6626
OTU622	11	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU1425	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1656	2	3	5	0	1	10	0	6	56	119	15	3	15	264	0	0	0	14	3	0	37	10	58	56	116	1	9	0	64	5	6	0	0	0	0	0	0	0	0
OTU525	1	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	32	0	0	1	10	0	0	0	0	0	0	0	0
OTU1178	5	11	13	8	4	16	8	14	159	110	0	0	0	0	58	20	2	38	45	9	27	33	225	264	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
OTU515	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU390	8	5	8	11	5	0	0	0	60	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU274	9	5	3	7	1	20	3	0	0	12	0	0	0	0	4	2	0	11	6	4	17	10	63	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU253	5	3	3	7	0	7	2	1	2	19	0	0	0	0	14	5	2	0	0	6	8	8	24	4	7	1	12	0	2	4	59	0	0	0	0	0	0	0	0
OTU373	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	3	0	0	0	8	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU409	2	0	0	1	2	20	0	0	3	6	0	0	0	8	2	14	0	2	0	2	0	6	10	0	56	8	44	1	0	3	0	0	0	0	0	0	0	0	0
OTU113	2	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	9	21	10	7	360	135	168	122	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU81	7	24	19	12	2	52	35	31	210	140	1	1	0	22	17	102	23	6	13	250	4	23	244	70	349	4	34	2	187	22	113	2	0	1	0	4	0	0	2
OTU184	5	0	8	0	0	8	0	1	23	5	0	0	0	1	0	4	2	19	4	1	2	1	73	12	2	1	270	4	2	6	69	0	0	0	0	0	0	0	0
OTU437	1	3	11	0	6	0	0	2	7	4	0	0	0	0	0	2	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU327	1	4	2	3	0	1	0	6	4	5	1	0	0	15	5	7	1	4	6	1	6	0	5	27	0	0	0	0	0	0	0	0	0	0	1	11	1	1	19
OTU462	1	4	0	2	0	0	0	1	42	18	0	0	0	1	0	7	0	0	0	4	1	0	5	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2
OTU713	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6
OTU228	3	9	2	3	3	33	5	2	9	20	0	0	0	0	26	12	5	22	3	10	1	4	9	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU124	2	1	1	1	0	31	3	3	1	14	0	0	0	10	1	3	1	5	0	0	0	0	21	6	110	21	374	44	377	47	212	0	0	0	0	0	0	0	0
OTU116	4	99	21	9	82	34	5	1	455	257	0	17	0	34	0	13	3	13	0	2	15	22	20	109	806	148	383	199	1257	118	450	0	0	0	0	0	0	0	0
OTU161	5	0	0	0	0	60	4	2	0	22	0	0	0	0	1	0	2	0	0	0	54	0	41	44	0	0	0	0	0	0	0	5	21	1	225	0	18	0	28
OTU83	8	1	2	4	0	5	6	13	76	804	4	0	2	42	0	0	0	18	0	0	0	0	27	0	221	134	616	47	747	290	347	2	0	0	0	0	0	0	1
OTU334	4	0	0	4	0	9	6	35	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0
OTU13	1	0	0	0	0	0	0	0	0	0	326	6430	141	2613	0	0	683	2	0	4	2	5	11	19	457	260	703	129	279	156	117	0	0	1	28	1	4	3	8
OTU783	2	0	9	0	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU28	3	0	0	0	0	0	0	0	0	0	147	149	917	5366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU497	2	0	1	0	0	2	0	1	0	0	4	1	2	2	3	1	1	7	0	13	0	0	4	2	0	0	0	0	0	2	0	0	0	0	5	8	1	0	5
OTU118	4	2	2	1	0	6	0	3	52	0	0	0	0	0	6	4	17	84	5	11	95	11	141	329	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU757	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU405	4	6	1	0	3	0	5	0	59	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1639	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1043	8	0	0	21	0	0	0	0	0	0	0	0	0	0	560	1	0	27	1	0	29	0	0	484	0	1	0	105	1695	45	76	0	0	0	0	0	0	0	0
OTU724	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU239	4	13	13	12	2	0	1	4	70	30	0	0	0	0	32	5	5	0	1	3	2	15	27	62	0	3	0	1	140	6	12	0	0	0	0	0	0	0	0
OTU436	1	0	0	0	0	0	0	0	0	0	110	119	225	4146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21
OTU473	1	0	0	0	0	0	0	0	0	0	0	1	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	59	0	0	0	0	0	0	0	0
