COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkcITS	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1cITS	SVERCc1	SVERCc2cITS	SVERCc2	SVERCc3cITS	SVERCc3	SVERCcbulkcITS	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
OTU20	0	0	0	219	0	0	0	0	0	1	0	0	0	1	0	0	18	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	11228	0	0	0	3
OTU53	0	0	0	5	0	0	63	0	169	55	0	0	0	1	0	0	1	0	0	50	0	0	0	5	0	0	0	42	0	0	1	0	7	387	1309	226	3	0	602
OTU360	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	39	0	0	4	29	0	5	16	6	0	1	0	9
OTU568	0	0	0	2	0	0	0	0	0	0	0	0	37	5	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU811	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	46	0	1
OTU412	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1007	0	0	0	3	0	0	4	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	3	0	0	0	0	0	0	0	0
OTU545	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0	0	0	0
OTU42	0	0	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	100	2	0	43	0	1117	41	0	0	0	0	0	0	3	8	33	0	636	0	20	12	3679
OTU658	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	5	0	0	2	3	0	1	1	0	1	0	6	0	0	2	12	0	0	1	1
OTU516	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	53	5	0	0	0	0	0	0	0	0	0	0	0
OTU1352	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	3	0
OTU1533	0	0	0	1	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU101	0	0	0	29	15	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	953	163	0	0	0	0	0	0	1	30	13	0	0	0	0
OTU1150	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU1703	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU175	0	0	0	1	0	0	169	0	5	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	182	7	0	0	0	1	1	7	105	0	0	0	157	0	6
OTU695	0	0	0	3	0	0	1	0	13	7	0	0	0	0	1	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1110	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1641	0	0	0	3	0	0	0	0	0	0	3	7	17	135	29	26	18	21	98	277	48	25	410	335	688	103	625	64	422	231	1272	5	4	10	38	22	6	7	155
OTU1193	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
OTU1307	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1081	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU92	0	0	0	4	0	0	0	3	51	70	0	0	0	0	11	0	87	0	3	1	4	0	82	72	0	26	1661	0	0	46	43	0	0	0	0	0	38	0	0
OTU1524	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU285	0	0	0	2	0	0	19	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU945	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1372	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU374	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	1	6	4	0	4	2	17	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU71	0	0	0	1	0	0	0	0	0	0	0	0	1	0	217	107	245	199	450	246	166	226	39	58	99	9	0	30	25	6	15	0	10	4	5	3	9	7	4
OTU191	0	0	0	3	2	0	1	3	4	21	7	8	8	121	8	30	13	93	8	11	60	15	900	67	97	6	34	10	1	7	6	0	0	0	3	15	22	27	126
OTU1595	0	0	0	1	0	0	0	3	0	0	5	6	3	92	2	6	1	2	0	22	2	8	33	8	38	1	6	5	30	1	8	15	5	8	31	2	0	6	53
OTU1405	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU187	0	0	0	0	13	42	0	0	0	0	0	0	0	0	0	0	6	0	2	0	122	5	0	203	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU117	0	0	0	0	37	0	0	20	1537	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU467	0	0	0	0	3	0	3	3	0	11	0	0	0	0	2	0	1	2	0	0	0	0	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU280	0	0	0	0	2	31	0	0	1	139	0	0	0	0	0	0	11	0	0	0	0	0	0	5	0	3	0	0	0	0	47	0	0	0	0	0	0	0	0
OTU1528	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU278	0	0	0	0	2	9	0	0	0	0	4	12	12	110	0	0	1	0	40	0	0	0	7	6	0	0	0	0	0	0	0	0	23	57	9	2	0	0	43
OTU1196	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	2	4	0	0	0	5
OTU1279	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU86	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	1132	1	34	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1014	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1633	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU119	0	0	0	0	1	0	0	653	1	4	0	0	0	0	10	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	20	1	0	8	0	4	6	0
OTU1161	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1254	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU928	0	0	0	0	5	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	1	0	0
OTU377	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	3	0	30	0	0	0	0	0	0	0	0
OTU882	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1442	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU6	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	97	3233	18744	3	0	0	1741
OTU1443	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1635	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU472	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	31	0	1	0	0	0	0	0	0	0	0
OTU292	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU749	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU304	0	0	0	0	0	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	200	0
OTU817	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU659	0	0	0	0	0	19	1	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	3	0	0	0	0	0	0	0	0	0
OTU727	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU885	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU789	0	0	0	0	0	8	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU63	0	0	0	0	0	1	5	6	20	12	79	17	62	321	1	0	20	6	0	51	6	4	8	4	67	12	18	4	531	6	32	3	0	1	21	25	31	41	2003
OTU1659	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1310	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU54	0	0	0	0	0	4	0	0	0	0	0	0	3	56	163	167	31	123	128	171	143	97	995	738	0	0	1	0	0	0	0	2	2	6	41	0	0	7	1
OTU1271	0	0	0	0	0	2	0	0	1	0	0	0	5	17	7	0	1	0	0	6	0	3	19	5	14	0	7	2	16	2	1	1	2	0	6	1	1	0	25
OTU756	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
OTU1300	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU722	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	0	0	0	0	1	2	0	0	6	0	0	0	1	0	0	1	0	2	0	13	0	2	0	2
OTU728	0	0	0	0	0	2	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
OTU961	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU482	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	2	0	0	0	0	0	0	0	0	0
OTU361	0	0	0	0	0	1	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	2	3	0	0	3	28	0	0	0	0	0	0	0	0
OTU852	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU551	0	0	0	0	0	1	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0
OTU1175	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1301	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1037	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1147	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU107	0	0	0	0	0	0	6	0	0	0	0	2	0	0	37	2	0	13	30	17	17	16	289	57	142	6	7	26	367	1	87	0	0	0	3	0	0	0	0
OTU536	0	0	0	0	0	0	3	0	13	0	2	0	0	21	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	10
OTU1229	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU434	0	0	0	0	0	0	1	115	5	1	0	0	0	24	15	0	0	1	0	0	1	0	0	2	12042	10	1258	1117	0	4	11121	2744	141	1	4	15411	12610	19	30029
OTU14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	24545	8	7	0	0	0	0	0	1	0	0	0	0	0	0	0	8	0	0	0
OTU813	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU19	0	0	0	0	0	0	1	0	0	0	0	2	2	40	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	48	31	9330	2	0	0
OTU500	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	7	3	0	0	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU518	0	0	0	0	0	0	4	0	0	0	0	5	9	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU871	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1587	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU35	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	3995	0	11	0	0	19	0
OTU1188	0	0	0	0	0	0	0	278	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6648	585	2	7	4	9	51	75
OTU36	0	0	0	0	0	0	0	1820	0	22	0	0	0	0	5	1	0	0	0	0	2423	5	0	34	0	0	0	0	0	0	0	73	14	0	0	0	2	16	0
OTU48	0	0	0	0	0	0	0	16	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	498	834	259	963	93	33	230	238
OTU40	0	0	0	0	0	0	0	43	0	0	65	3	9	554	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	847	170	821	284	55	51	624	820
OTU95	0	0	0	0	0	0	0	9	0	0	44	66	73	579	0	0	0	0	0	0	0	0	0	0	61	1	3	1	0	0	7	195	39	2	90	0	0	0	3
OTU385	0	0	0	0	0	0	0	2	0	0	0	15	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	16	15	7	4	16	31
OTU629	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	8	6	0	0	1	0
OTU987	0	0	0	0	0	0	0	2	1	0	2	9	8	350	6	0	0	5	0	0	0	0	7	11	0	0	0	0	0	0	6	0	12	10	63	33	6999	21	67
OTU154	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	223	21	12	70	4	7	0	230
OTU249	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	5	0	0	0	0	0	0
OTU55	0	0	0	0	0	0	0	5	0	0	17	297	179	867	0	0	0	0	0	0	0	0	0	0	92	2	115	0	0	16	23	145	692	185	160	92	12	209	174
OTU223	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	274	0	0	40	0	0	1	0	0	0	0	0	0
OTU169	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	92	86	100	174	62	42	167
OTU1335	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU1317	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	974	0	47	4	5	0	0
OTU1712	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0
OTU1461	0	0	0	0	0	0	0	15	0	0	30	0	20	19	0	0	0	0	1	0	1	3	1	0	0	0	0	0	0	2	100	307	1766	6478	1736	799	606	593	1962
OTU690	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU590	0	0	0	0	0	0	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU303	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29	12	30	13	2	3	74
OTU496	0	0	0	0	0	0	0	2	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	6	0	0	0	0	0
OTU49	0	0	0	0	0	0	0	8	0	0	1684	21	1	52	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	64	818	505	120	2	0	97	6
OTU137	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	47	77	350	0	0	0	0
OTU259	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	8	3	165	2	0	0	38
OTU548	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	8	0	0	0	0	0	0
OTU440	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	8	13	7	2	7	21
OTU1308	0	0	0	0	0	0	0	3	0	0	10	51	7	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	4	0	53	5	6	24	71
OTU318	0	0	0	0	0	0	0	1	0	0	9	6	7	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	34	10	1	0	2	3
OTU1593	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	77	80	24	246	31	106	75	170
OTU1650	0	0	0	0	0	0	0	4	0	0	7	2	13	19	45	0	1	4	4	6	12	40	4	27	0	0	0	0	0	0	4	49	869	787	291	276	331	379	846
OTU204	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	8	0	0	165	30	0	0
OTU395	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	79	0	59	29	1	0
OTU272	0	0	0	0	0	0	0	2	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	41	60	2	0	0	13
OTU1056	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1578	0	0	0	0	0	0	0	11	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	1333	1	150	83	0	0	1456	254	14	0	0	1655	1340	1	4337
OTU604	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	15	0	0	0	0	0	0	0	0	0	0
OTU1517	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU99	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	24	0	35	534	14	0	811
OTU461	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	3	18	0	0	0	0
OTU82	0	0	0	0	0	0	0	3	0	0	5	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	131	31	1510	30	15	2	742
OTU453	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	4	1	1	2	9	0	0	1	11	18	5	5	2	12	1	5	0	0	0	0	1	0	0	0
OTU136	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	33	53	246	22	10	9	191
OTU559	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	10	2	0	0	0	0	0	0	0	0
OTU1164	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU927	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	6	13	5	11	9	0	3	0	0	0	0	0	25	55	48	180	13	31	12	56
OTU455	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	36	0	21	0	0	0	0	0	0	0	0
OTU120	0	0	0	0	0	0	0	3	0	0	0	0	0	101	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	991	3	0
OTU872	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
OTU150	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	56	2	96	13	48	213	334
OTU487	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	31	0	0	0	0
OTU640	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0	18	0	0	0	0	0	0	0
OTU1516	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1644	0	0	0	0	0	0	0	1	0	0	0	12	0	0	107	18	19	72	130	241	176	160	272	329	0	0	0	0	0	0	0	1	28	24	24	14	11	165	0
OTU1053	0	0	0	0	0	0	0	2	0	0	16	0	8	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	50	159	142	585	132	57	226	425
OTU1373	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU189	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	15	11	227	0	0	10	112
OTU396	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	73	0	1	0	0	0	0
OTU37	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	1	0	2	0	14	0	0	0	0	0	0	1	16	276	314	976	229	414	135	2384
OTU704	0	0	0	0	0	0	0	0	8	7	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	5	1	0	1	5	0	0	0	4	2	0	0	3
OTU1064	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU916	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU133	0	0	0	0	0	0	0	0	71	0	0	0	0	0	280	42	0	0	36	0	4	7	211	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU615	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	3	3	0	0	0	9	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU687	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1608	0	0	0	0	0	0	0	0	9	0	51	76	19	1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU485	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1397	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU102	0	0	0	0	0	0	0	0	15	5	0	0	0	0	73	0	0	2	0	0	3	6	0	36	131	6	1369	181	58	346	668	0	0	0	0	0	0	0	0
OTU1241	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU289	0	0	0	0	0	0	0	0	5	1	0	0	0	0	12	0	0	0	0	0	0	0	0	3	0	5	0	0	158	0	0	0	0	0	0	0	0	0	0
OTU701	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
