No,ID,No. module,Zi,Pi
409,EU133640.1.1364,28,0,0
410,HM252444.1.1357,0,-1.038442466,0
411,FN397674.1.1467,4,-0.065795169,0.444444444
412,HQ118270.1.1521,1,0.828303933,0
413,JQ426672.1.1441,4,0.460566186,0
414,JN378395.1.1419,1,-0.410037874,0
415,JF128979.1.1306,2,-0.237399018,0
416,EA273518.1.1307,0,-0.829614913,0
417,OTU_dn_356,1,-0.940755791,0.625
418,KJ192096.1.1496,1,-0.940755791,0
419,EU133443.1.1346,2,0.665495609,0
420,KC604476.1.913,1,-0.233131902,0
421,HM337289.1.1358,1,-0.940755791,0
422,JQ978511.1.1519,6,0.130188911,0
423,OTU_dn_1205,28,0,0
424,FJ478840.1.1527,2,-0.801708161,0
425,EF018964.1.1373,27,0,0
426,EU133558.1.1304,2,-0.914569989,0
427,JN559134.1.1493,0,0.527764178,0
428,GQ140324.1.1432,1,-0.233131902,0
429,EF516309.1.1425,1,-1.117661763,0
430,BX294899.2.1297,30,0,0
431,GQ113672.1.1357,0,-0.620787361,0
432,GQ396877.1.1451,0,-0.829614913,0.5
433,FJ979863.1.1373,1,-0.056225929,0
434,OTU_dn_137,1,-0.940755791,0
435,JX282404.1.1412,1,-1.117661763,0
436,AJ252633.1.1373,0,-0.516373584,0.244897959
437,HQ440051.1.1491,10,0.707106781,0
438,FR749781.1.1497,0,0.527764178,0
439,LN568830.1.1385,1,-1.117661763,0
440,HM129128.1.1449,1,1.005209905,0
441,CP011270.1884247.1885732,12,0.72063396,0
442,GABH01010504.1.1221,1,-0.940755791,0
443,FJ936914.1.1496,1,3.128081573,0
444,KP054167.1.1381,33,0,0
445,FQ660041.1.1357,0,-0.516373584,0
446,JX668718.1.1298,1,0.474491988,0
447,HQ118235.1.1430,0,-0.934028689,0
448,EF020230.1.1332,0,-0.934028689,0
449,EU644228.1.1444,0,1.049833059,0
450,FJ479026.1.1514,11,-1.224744871,0
451,KP687073.1.1449,0,-0.934028689,0
452,EF516109.1.1289,0,-0.725201137,0
453,HQ003443.1.1458,5,1.791093316,0
454,D84618.1.1486,1,1.005209905,0
455,HQ118525.1.1490,0,-0.934028689,0
456,FN421483.1.1384,20,0,0
457,EU133869.1.1355,13,1,0
458,AF414588.1.1229,1,0.120680043,0
459,AY250865.1.1436,10,-0.707106781,0.5
460,EF019436.1.1324,0,0.318936626,0
461,JX280094.1.1480,5,-0.961074462,0.444444444
462,HM061814.1.1471,0,1.467488164,0
463,DQ499310.1.1495,0,-0.203132256,0
464,HM366506.1.1460,0,0.841005507,0
465,OTU_dn_498,4,0.460566186,0.592592593
466,HM438388.1.1389,1,1.535927822,0
467,FR749736.1.1496,0,2.407212151,0
468,OTU_dn_167,1,-1.117661763,0
469,KC554691.1.1557,1,0.474491988,0
470,OTU_dn_107,0,-1.038442466,0
471,FR687496.1.1496,1,0.828303933,0
472,GQ094365.1.1353,1,-1.117661763,0
473,JX114424.1.1509,5,-0.961074462,0.444444444
474,OTU_dn_4457,0,0.423350402,0
475,AB486905.1.1353,1,0.474491988,0.165289256
476,FM177520.1.1404,1,-0.586943846,0
477,AM935710.1.1345,2,-0.801708161,0
478,JF129097.1.1358,0,1.780729493,0
479,GU983337.1.1446,0,0.945419283,0
480,AM157351.1.1201,1,-0.763849819,0
481,JQ978526.1.1507,0,0.841005507,0
482,HQ729848.1.1513,0,-1.038442466,0
483,JF703591.1.1433,0,-1.038442466,0
484,KC554567.1.1517,15,-0.588348405,0
485,JF135846.1.1354,0,-0.620787361,0.49382716
486,HM447715.1.1442,0,2.407212151,0
