OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
JX222567.1.1443	2	20	7	7	14	22	12	2	8	13	12	14	15	5	8	21	8	8	8	4	8	2	8	10	18	8	10	15	9	7	6	22	1	2	0	1
OTU_dn_256	6	9	0	9	13	6	8	3	12	8	6	7	10	7	9	6	2	7	2	7	11	4	17	9	5	4	4	0	9	0	6	9	2	2	3	1
OTU_dn_5880	2	0	0	1	1	1	1	0	0	0	2	1	0	0	5	2	0	0	0	0	3	1	0	2	0	3	3	0	2	3	1	0	10	10	5	7
HG917624.1.1465	7	6	2	7	7	16	5	1	4	3	2	2	9	3	6	5	1	5	7	6	3	2	3	2	9	2	5	18	8	14	3	2	2	2	2	3
EF019802.1.1332	2	2	0	2	2	4	1	2	0	1	1	0	2	5	1	1	1	0	0	3	0	2	1	1	1	0	0	1	1	2	0	4	1	2	2	1
JQ311906.1.1456	3	3	1	0	1	3	2	2	3	0	0	3	5	2	4	5	2	0	3	4	1	1	3	1	0	3	1	1	3	1	4	1	6	6	4	9
EF019821.1.1348	3	3	0	8	1	0	1	0	4	0	1	0	2	0	2	0	0	0	0	0	3	0	1	0	0	2	3	1	1	0	2	0	3	4	6	3
OTU_dn_4617	1	1	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	0	3	1	0	2	0	2	0	0	0	0	1	0	0	2	3	0	0	1
JQ427506.1.1424	12	161	201	39	1603	274	1032	275	513	471	58	89	369	45	36	32	183	107	287	238	66	115	164	121	168	86	33	119	134	24	63	671	4	0	1	0
OTU_dn_2174	3	2	0	1	4	0	0	0	2	2	3	0	1	2	5	1	0	1	4	1	2	2	1	1	2	0	2	0	0	2	2	3	6	4	2	1
KU177039.1.1448	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	6	1	4
OTU_dn_1093	8	1	2	11	0	0	0	0	1	2	2	0	1	3	5	0	0	0	0	0	2	3	1	0	1	3	2	0	0	0	0	0	17	23	100	55
AB821185.1.1483	2	2	1	0	2	1	2	1	4	1	2	3	4	8	8	1	7	0	6	4	6	5	3	3	4	3	6	11	2	0	5	3	12	14	11	7
KJ636966.1.1343	8	1	0	1	0	0	0	0	0	0	2	49	1	0	12	70	0	5	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1
EF540425.1.1451	15	48	15	41	19	17	26	18	17	20	28	19	33	19	17	20	41	9	16	19	19	22	41	42	41	29	10	32	15	27	13	26	23	14	5	3
FJ592836.1.1381	2	2	0	2	3	1	6	0	1	2	2	4	5	1	1	3	2	4	3	1	0	2	1	2	4	0	2	3	3	5	2	0	1	1	3	0
OTU_dn_5615	3	1	0	0	0	0	0	0	1	0	2	1	1	2	1	1	1	0	1	1	1	0	1	2	1	0	0	0	0	0	2	0	0	3	8	2
JX133410.1.1463	1	5	1	1	10	14	8	1	12	2	3	7	13	7	5	10	14	1	7	4	7	12	11	10	9	8	3	18	7	13	12	11	19	12	43	14
JF189025.1.1295	10	9	2	8	4	5	3	4	7	11	5	8	8	5	5	5	4	19	3	9	4	5	17	7	6	2	5	4	4	17	8	3	1	2	2	2
OTU_dn_1434	4	0	0	5	0	1	1	1	1	0	1	2	5	3	3	1	0	0	0	0	3	1	0	0	1	0	4	1	1	2	2	0	8	6	4	7
GQ402628.1.1415	3	5	3	8	4	2	5	0	4	3	1	2	2	3	2	5	2	2	0	4	1	1	5	1	3	1	0	6	3	0	3	3	6	4	7	4
JF429085.1.1550	2	2	0	2	1	1	2	2	2	2	2	2	0	7	9	2	1	0	3	1	5	2	0	0	7	2	4	2	2	7	5	4	6	5	10	6
OTU_dn_1570	11	3	10	20	0	0	0	2	0	1	1	1	0	0	0	1	0	9	0	2	2	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0
JN023674.1.1449	1	8	1	2	3	4	3	1	0	3	2	5	2	11	10	0	5	0	5	5	6	2	1	3	3	3	4	8	0	4	4	3	10	8	10	15
HQ385612.1.1367	3	14	2	2	4	0	2	1	0	1	1	1	0	8	0	1	2	1	0	3	1	1	2	3	3	0	1	10	2	3	1	4	4	7	7	3
GQ381310.1.1417	1	12	5	8	5	14	5	6	10	5	12	9	11	2	12	1	8	2	10	2	22	6	5	10	4	4	12	7	53	14	8	1	2	0	1	2
OTU_dn_98	9	31	3	13	18	10	13	6	5	16	6	2	16	2	9	1	7	14	14	8	7	11	9	4	3	5	9	4	3	0	8	3	0	2	2	0
JN409021.1.1465	25	1	6	4	2	2	1	0	0	13	2	0	2	1	0	0	0	0	0	0	0	0	3	2	0	3	0	4	1	3	0	0	0	0	0	0
EF020146.1.1352	5	8	5	4	4	0	4	3	5	2	3	9	12	19	18	5	10	7	12	6	9	10	2	3	2	5	14	15	6	7	6	3	30	54	16	34
DQ450820.1.1393	1	0	0	1	1	0	2	0	2	0	0	0	2	2	0	3	1	0	2	1	0	1	2	3	4	0	1	0	0	0	2	3	2	3	0	1
JN024061.1.1445	8	8	0	4	5	1	4	3	3	3	7	6	9	8	5	1	3	1	5	0	4	3	4	4	4	3	12	0	2	3	1	3	4	9	5	1
JQ993930.1.1442	28	116	31	50	97	135	128	79	194	75	109	159	131	112	165	142	117	54	148	146	192	111	136	83	139	54	219	88	211	79	214	165	43	43	39	54
OTU_dn_2558	8	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	0	0	1	3	0	1	0	1	0	0	2	0	0	1	0	1	0
GQ263742.1.1462	15	41	53	17	13	64	15	56	15	68	49	55	60	28	29	15	25	40	16	21	61	12	156	61	36	47	59	9	23	15	19	24	14	12	2	10
OTU_dn_333	25	3	14	32	7	6	1	17	1	37	0	1	8	1	0	0	0	12	0	1	2	0	1	1	2	1	0	0	2	0	0	0	0	0	0	0
HM186070.1.1370	18	16	11	23	5	17	5	17	3	13	17	10	19	13	9	6	8	13	9	8	8	6	28	9	14	23	21	1	16	26	9	3	3	4	1	4
OTU_dn_412	3	5	1	4	7	1	3	6	1	5	4	2	3	2	3	2	5	2	1	0	6	1	4	0	5	3	3	19	0	5	3	6	5	5	10	2
OTU_dn_1662	2	2	1	0	2	0	2	2	2	0	1	2	7	1	1	1	7	0	2	2	1	3	0	3	0	2	5	6	3	5	1	3	7	8	1	3
GQ402594.1.1454	2	1	0	0	1	1	0	0	1	0	0	3	0	1	2	0	2	1	0	1	1	0	0	0	1	1	1	0	0	4	0	3	6	7	2	4
OTU_dn_5057	2	2	1	0	2	1	2	1	5	1	1	2	0	2	1	0	2	4	1	2	1	3	3	0	3	1	3	0	1	0	2	2	0	0	0	1
OTU_dn_533	21	12	11	32	10	18	17	17	12	20	9	10	15	13	3	9	11	24	10	16	13	10	15	12	15	8	9	23	6	3	2	6	12	8	7	1
EU131933.1.1350	3	3	2	4	1	6	4	0	3	2	3	3	4	1	6	3	2	6	0	1	3	1	2	0	2	3	7	0	1	0	4	1	10	18	9	11
EU276488.1.1490	5	1	1	3	0	1	0	0	1	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	1	3
EF516662.1.1424	1	5	1	4	2	5	0	1	2	0	1	0	3	1	8	1	1	0	5	2	1	1	4	5	0	3	0	3	1	0	1	0	2	1	2	4
OTU_dn_264	6	10	1	3	4	5	7	0	79	3	4	0	3	0	3	0	3	0	1	1	7	1	23	26	2	1	2	0	6	3	0	1	0	0	0	0
KC331361.1.1484	4	7	2	8	2	6	2	0	4	2	14	7	4	7	4	6	3	6	4	4	4	3	15	7	2	7	23	1	7	0	9	2	1	0	5	5
OTU_dn_4195	2	3	0	2	0	1	2	0	0	1	1	0	5	0	1	0	0	0	1	0	0	0	0	1	0	0	3	0	2	2	1	0	0	0	0	0
OTU_dn_478	2	5	1	9	4	2	1	3	2	2	2	10	3	7	2	2	1	1	4	8	8	2	2	6	1	5	9	8	5	2	2	1	10	1	2	5
OTU_dn_413	3	6	2	0	2	3	1	2	3	1	3	3	3	13	6	5	4	1	7	3	11	6	1	9	3	8	8	12	1	0	4	4	23	20	16	23
FJ177421.1.1351	6	1	0	3	0	0	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
JQ978617.1.1491	3	1	0	1	0	3	4	1	5	0	6	3	3	10	5	4	6	0	4	3	7	3	0	6	3	6	7	17	5	16	6	4	13	10	22	20
OTU_dn_817	4	11	1	6	2	3	2	5	1	2	6	0	3	1	0	0	2	7	1	2	3	3	4	2	1	2	3	5	2	5	1	1	4	1	1	2
AB619705.1.1436	5	7	3	3	3	2	1	3	7	1	4	5	8	13	5	9	3	3	9	4	9	5	5	5	7	7	15	12	5	4	9	3	21	54	26	19
LN563304.1.1319	11	41	7	19	16	37	32	6	12	24	22	16	32	18	20	16	34	16	22	17	14	15	32	24	22	8	15	29	10	30	7	9	25	16	21	24
EU131925.1.1281	3	1	1	1	0	3	4	1	5	1	5	1	4	4	9	2	4	1	10	3	3	5	2	2	5	5	11	11	3	4	4	6	11	19	45	25
EU134476.1.1383	3	4	1	1	0	0	1	0	0	1	0	3	0	0	1	0	2	4	0	2	1	0	1	0	1	2	1	0	0	0	1	0	0	1	1	1
HM186026.1.1327	4	15	1	3	10	61	14	17	5	8	2	5	28	0	2	3	12	16	3	0	1	1	10	4	2	17	5	3	13	7	1	2	0	0	0	1
OTU_dn_1566	5	22	3	9	36	8	11	4	25	11	8	16	31	42	32	11	16	1	32	12	8	25	29	11	23	3	8	19	10	5	29	9	12	33	17	29
OTU_dn_16	7	37	8	10	24	22	51	5	43	12	13	34	33	34	46	17	28	19	38	18	18	21	44	24	13	9	43	36	18	16	20	19	31	37	30	32
HM447806.1.1509	6	18	4	6	10	9	32	2	21	13	14	20	11	30	20	30	20	9	13	14	17	15	21	10	9	8	13	34	15	10	16	9	21	23	7	17
FM877554.1.1444	1	6	3	8	13	8	17	3	1	9	0	0	5	1	0	0	4	4	1	1	4	0	7	2	4	1	0	8	0	1	0	0	1	5	6	8
FJ793159.1.1462	8	4	0	3	0	0	0	0	0	0	11	64	3	7	38	119	0	8	0	11	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3146	11	0	2	3	0	3	3	6	0	1	0	1	1	1	0	0	0	4	1	0	1	2	3	0	0	2	3	0	0	0	0	0	0	0	0	0
EU133865.1.1381	4	5	3	6	2	4	4	2	3	2	1	1	6	2	9	3	5	1	4	1	3	3	1	6	3	4	1	10	5	7	5	2	4	5	4	4
GQ500769.1.1502	13	8	2	14	9	3	11	1	2	9	10	7	14	15	10	8	12	7	12	2	2	11	15	15	8	6	14	37	5	9	6	2	23	43	21	23
OTU_dn_501	2	7	0	1	15	6	9	3	4	6	10	11	3	4	4	4	13	5	3	3	5	10	3	3	1	3	9	7	5	1	9	10	0	1	2	1
OTU_dn_4461	1	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	2	0	2	0	0	0	0	0	0	1
OTU_dn_719	8	5	1	2	0	0	1	0	0	1	0	0	4	1	1	1	0	0	1	0	0	1	0	0	0	2	2	0	1	0	0	1	6	6	5	1
AB661527.1.1451	2	4	1	1	1	0	2	2	1	3	1	0	3	5	2	0	0	0	0	3	4	0	0	0	0	1	3	1	0	2	1	1	0	3	0	0
OTU_dn_583	9	5	0	17	3	5	5	0	2	2	0	0	5	1	4	2	1	2	2	0	5	0	3	2	1	0	1	0	1	0	1	0	6	4	1	4
AJ617907.1.1477	11	5	2	3	1	1	0	0	0	0	3	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0
KJ808433.1.1451	5	10	3	3	3	3	5	1	3	2	4	2	5	1	2	5	9	0	0	3	0	2	2	7	0	0	4	21	2	1	2	2	1	6	3	3
AB754053.1.1449	1	4	9	1	0	2	7	2	0	5	1	3	3	0	1	0	0	4	0	3	0	2	0	2	1	1	0	0	0	0	0	0	0	2	0	1
GQ115602.1.1307	2	11	6	2	8	16	8	13	13	11	17	17	6	6	12	12	11	9	24	19	24	20	16	9	17	8	24	12	33	5	21	13	0	1	0	3
OTU_dn_424	1	3	3	0	0	2	3	0	0	1	0	0	2	3	5	4	1	0	1	1	1	0	0	3	1	0	2	3	0	0	4	0	28	36	14	22
JQ428528.1.1496	4	18	10	7	13	17	16	5	11	17	48	10	12	4	8	21	30	11	11	10	10	6	29	35	25	7	19	54	12	30	5	20	11	1	5	2
OTU_dn_5620	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU135132.1.1360	6	5	1	7	6	7	5	3	7	5	2	4	9	11	11	4	9	5	6	7	14	11	4	1	5	0	4	2	7	4	5	1	10	11	7	7
OTU_dn_206	4	1	0	0	1	0	5	1	0	4	1	4	4	4	5	4	3	0	5	2	4	3	4	2	1	1	2	0	1	7	1	4	6	13	3	5
KM205511.1.1451	1	2	0	0	1	1	3	0	3	0	3	2	5	11	5	4	7	0	9	2	3	3	1	2	6	3	7	5	0	22	3	4	18	16	17	22
OTU_dn_3102	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0
HM061864.1.1416	4	1	0	6	3	0	4	1	1	2	1	0	6	1	1	2	3	3	4	0	4	2	1	6	1	1	0	0	0	0	2	1	6	5	2	1
EF516694.1.1413	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	2	1
OTU_dn_80	2	29	5	10	1	19	11	7	4	19	12	7	23	5	6	24	9	26	8	13	12	4	20	10	19	8	12	12	5	8	3	5	6	1	2	0
HQ010843.1.1483	3	0	2	3	0	1	1	4	0	0	3	4	5	2	3	4	1	7	2	1	1	0	3	2	1	6	2	0	2	3	3	0	2	6	3	7
GQ388849.1.1447	11	2	1	13	0	0	1	0	0	1	0	0	0	1	0	5	14	0	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0
OTU_dn_5664	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	0	0
OTU_dn_290	12	9	3	11	9	4	5	3	6	9	8	5	9	11	5	1	3	4	4	2	3	7	7	3	1	5	3	2	1	0	5	4	17	20	14	14
OTU_dn_3010	4	3	0	3	0	1	0	0	0	1	3	1	0	1	3	1	0	0	3	1	3	1	0	0	1	1	2	1	0	1	1	1	6	5	1	3
LN567632.1.1352	2	4	1	1	1	1	0	2	0	5	0	0	5	2	0	0	2	4	1	0	0	0	2	1	0	0	2	1	0	1	0	0	1	0	0	0
HM062143.1.1449	5	7	2	7	6	4	7	4	19	2	11	10	8	27	34	15	15	2	37	8	16	16	6	5	15	13	22	13	8	17	23	3	68	51	52	75
EU133650.1.1359	1	3	0	2	0	2	3	1	1	1	3	1	3	1	3	0	0	0	1	3	3	3	0	3	0	4	0	0	0	0	4	0	1	2	2	2
EU979114.1.1487	1	3	0	1	4	2	5	2	13	0	8	7	7	31	27	13	13	2	10	8	11	9	7	4	7	6	10	0	8	0	13	5	23	24	26	24
HQ119302.1.1526	4	4	0	4	3	2	1	1	1	0	0	0	3	4	3	0	2	0	0	1	2	1	1	0	3	2	0	0	1	0	2	1	1	4	1	3
OTU_dn_6210	5	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1315	12	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ199737.1.1616	8	18	3	7	1592	7	21	3	323	11	85	38	14	45	79	351	64	3	169	54	31	119	13	49	37	26	15	130	46	76	296	81	7	5	4	6
FM997995.1.1406	1	4	2	5	0	5	1	3	3	9	0	3	1	0	2	4	1	3	3	2	0	1	3	6	1	0	2	0	9	1	6	0	1	0	0	0
KJ540658.1.1471	6	16	1	10	15	6	10	5	10	9	2	4	10	10	3	2	8	5	13	11	7	3	14	5	5	5	11	6	7	7	5	6	10	23	9	13
KF712562.1.1490	12	13	7	5	3	9	4	9	3	13	4	6	9	4	12	1	4	12	3	2	5	8	14	5	7	9	9	1	10	5	3	0	0	1	0	1
AB488215.1.1358	8	38	4	12	21	17	26	10	28	16	10	31	37	22	21	14	18	17	22	21	26	7	28	16	15	11	18	10	16	8	20	15	6	11	8	14
OTU_dn_128	14	20	2	34	22	16	31	12	11	7	19	19	21	24	25	7	19	5	16	10	12	12	12	10	4	5	18	26	14	3	16	9	26	28	41	33
OTU_dn_2109	3	27	2	4	1	1	0	0	2	3	3	2	4	4	5	1	0	2	4	2	5	2	5	1	6	4	3	0	0	4	2	0	3	5	2	0
HM484357.1.1346	4	0	0	0	0	1	1	8	0	0	0	1	1	0	0	1	0	0	0	0	2	0	5	0	0	0	0	1	1	17	1	0	0	0	0	0
OTU_dn_151	22	60	17	23	14	5	15	9	19	13	10	41	30	22	28	16	11	10	18	12	28	15	39	8	24	19	36	44	11	13	12	12	5	4	2	12
EF018870.1.1348	10	16	1	16	20	2	7	3	23	6	15	10	13	5	12	10	24	1	8	7	6	15	7	18	5	8	14	7	20	18	20	12	27	21	18	17
FM873515.1.1450	19	12	18	20	8	16	14	7	2	24	5	2	6	5	11	11	6	29	2	7	15	3	4	6	6	8	21	15	2	2	3	4	3	0	1	0
JN409160.1.1397	32	62	11	27	56	198	45	33	67	35	26	43	84	11	32	5	62	9	56	51	73	43	66	123	1	7	31	84	100	31	17	37	0	11	0	0
EU132911.1.1372	1	0	0	0	0	2	3	0	3	1	2	1	0	3	0	0	5	0	1	1	0	1	1	1	3	1	0	0	2	0	1	2	0	0	0	0
EU589308.1.1526	4	2	4	4	1	2	11	0	1	3	10	5	0	6	8	4	5	2	2	1	5	5	5	3	3	5	4	5	2	0	7	3	12	9	4	15
HM069053.1.1447	7	35	7	25	17	24	20	6	8	6	9	14	13	2	5	11	7	5	1	5	9	7	21	15	24	7	7	7	5	15	0	8	4	3	0	1
EF020148.1.1400	6	12	5	4	4	8	15	8	15	2	14	21	10	46	21	11	17	8	19	16	16	15	12	22	8	8	22	11	12	17	12	25	40	55	21	19
HG529149.1.1252	3	2	0	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	2	1	1	0	1	0	0	0	0	1	2	2	0	2	0	5	2
OTU_dn_2388	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	2	0	1
OTU_dn_427	4	12	1	3	9	7	9	1	3	3	4	5	14	2	3	17	17	2	11	20	9	1	8	4	7	4	3	5	3	15	9	9	9	6	2	5
OTU_dn_61	20	61	26	19	31	58	37	52	24	66	17	20	50	11	31	21	19	58	10	25	15	13	42	10	18	15	27	2	14	5	13	9	4	6	1	2
OTU_dn_4143	3	0	5	2	0	1	0	1	0	1	1	0	2	0	0	0	0	6	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
EF515922.1.1429	8	2	0	5	1	0	3	0	2	1	2	2	3	8	5	0	2	0	0	2	0	5	1	0	1	1	2	0	0	0	1	0	1	1	3	4
GQ263723.1.1454	2	2	0	1	3	4	7	1	1	4	5	0	2	5	0	0	1	0	1	2	2	2	4	1	2	2	4	3	0	0	0	2	2	8	2	6
EF019018.1.1420	1	0	0	1	1	1	2	0	7	0	0	1	1	2	2	1	1	0	4	0	0	2	0	1	5	2	0	9	2	2	0	1	1	0	2	6
EU135438.1.1388	12	9	1	15	0	15	15	4	4	14	6	4	6	6	7	2	1	5	2	4	10	7	6	1	4	4	9	7	6	1	5	2	11	14	4	13
HM062062.1.1418	16	29	17	23	24	61	33	17	16	40	18	31	46	25	34	15	13	10	22	36	18	16	30	10	17	16	24	48	24	10	8	20	13	14	10	23
KC331430.1.1494	10	18	10	8	18	14	8	16	26	22	15	4	15	15	9	3	11	28	20	18	15	11	8	11	14	8	21	1	11	8	11	8	16	9	6	3
JQ418294.1.1392	6	1	7	6	1	2	2	1	4	2	5	4	2	4	5	6	5	6	3	9	1	5	5	2	7	8	6	5	3	0	4	5	0	0	0	0
OTU_dn_6104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
JN600581.1.1375	3	2	0	2	0	0	3	2	0	0	2	0	4	3	2	4	3	3	2	1	0	0	1	2	3	1	0	1	0	0	1	0	9	7	5	7
AB364800.1.1440	5	13	1	2	13	8	10	2	8	4	3	8	12	14	24	3	8	6	9	4	9	12	8	9	9	5	26	6	5	2	10	7	31	18	23	15
HQ597142.1.1507	4	3	2	1	1	5	0	2	0	6	2	2	1	1	1	0	3	4	0	2	1	1	0	3	5	1	2	11	1	5	0	0	1	0	0	0
OTU_dn_403	8	12	1	16	3	5	3	0	5	7	1	7	7	11	6	15	1	3	11	5	14	1	7	3	1	1	4	4	5	0	6	2	17	13	10	7
OTU_dn_584	3	4	0	3	0	2	2	0	0	0	0	1	0	1	1	2	0	0	0	0	2	4	3	0	0	0	3	0	2	0	5	0	1	8	14	10
OTU_dn_169	9	6	0	11	0	4	12	0	4	0	7	0	3	5	4	9	8	2	7	0	7	7	0	3	3	4	3	5	3	0	2	5	15	85	17	10
OTU_dn_862	4	5	2	5	3	1	1	0	3	2	3	3	2	9	6	1	1	1	9	6	8	3	6	3	4	2	6	22	4	2	4	3	11	20	30	28
AB637087.1.1498	1	14	2	8	5	19	12	2	41	4	35	47	10	22	47	95	30	8	47	27	27	5	34	30	37	22	37	22	41	123	14	24	6	1	1	4
JQ311910.1.1435	4	14	0	10	25	4	8	2	6	5	5	5	11	19	10	7	10	2	10	4	11	9	6	9	7	7	6	14	4	11	4	5	6	12	11	23
OTU_dn_4678	2	1	1	1	0	0	0	2	0	1	2	0	0	3	1	2	3	0	2	2	1	1	2	1	0	0	3	6	1	0	3	0	13	9	8	9
OTU_dn_3036	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_3785	1	1	3	0	1	2	4	1	2	1	1	3	4	1	1	1	1	2	1	2	3	2	0	0	0	0	0	0	1	0	1	3	1	0	0	0
JX133376.1.1498	12	16	4	18	8	9	26	5	16	7	18	12	23	21	17	15	24	3	14	10	21	2	12	26	13	21	16	24	12	23	19	4	47	48	47	68
AB636979.1.1497	2	57	1	15	51	21	11	6	69	20	58	57	56	17	31	179	70	6	84	40	30	5	70	57	209	20	50	18	22	28	16	118	0	4	2	5
AJ617869.1.1481	4	4	2	8	7	7	11	0	13	2	1	2	6	7	2	3	4	2	6	3	7	7	2	3	1	0	12	3	7	0	5	3	5	6	9	5
GU983312.1.1371	3	1	0	0	2	2	3	0	3	0	5	1	2	3	4	4	0	0	5	1	3	1	0	6	3	4	1	8	1	4	1	2	5	4	1	0
HM557563.1.1343	7	4	5	7	5	11	9	8	5	8	2	3	7	4	3	4	6	8	1	3	5	4	18	2	0	5	9	0	2	7	9	4	8	7	0	4
JF776881.1.1411	39	131	26	40	46	91	91	39	79	75	52	92	129	36	52	75	70	47	67	65	50	33	150	83	72	36	68	78	50	50	35	65	64	45	23	48
LN572097.1.1296	3	11	7	6	2	1	7	2	4	3	22	4	1	7	6	3	10	5	12	8	6	4	6	5	3	8	9	13	5	10	2	6	64	56	41	37
OTU_dn_472	1	1	0	3	6	3	1	0	4	2	2	2	6	2	5	0	4	1	11	4	7	0	3	4	3	2	2	0	4	2	2	1	7	10	4	10
JF733430.1.1444	11	32	16	27	22	33	25	10	38	19	14	25	36	18	34	13	16	8	23	26	37	16	43	10	20	13	23	13	25	2	21	19	2	5	5	5
JX910105.1.1400	1	3	2	1	3	4	2	0	11	1	15	8	1	0	5	7	9	5	1	5	3	9	3	26	12	3	7	11	18	1	12	5	2	1	0	1
AY326571.1.1425	2	21	2	7	7	2	8	3	4	4	0	2	8	7	3	5	6	3	2	1	0	4	2	4	3	7	3	4	6	0	0	3	3	4	4	3
OTU_dn_629	5	1	0	2	1	1	0	1	3	2	0	0	2	5	7	1	2	0	3	1	4	5	5	3	0	2	7	0	3	0	0	3	5	11	9	1
OTU_dn_4551	1	0	1	0	0	1	2	0	1	0	1	0	0	4	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1
EU135191.1.1302	6	5	0	3	2	1	1	1	2	1	1	1	4	1	2	2	2	1	2	0	2	1	1	0	1	2	6	0	0	1	4	0	5	12	4	5
FR687572.1.1451	12	27	6	18	20	10	29	6	32	12	21	22	30	25	39	23	21	8	28	18	17	11	17	21	28	16	13	72	15	42	22	26	107	82	75	73
HQ592543.1.1446	12	7	6	5	9	4	3	4	3	6	6	8	4	1	1	1	4	8	8	1	1	2	13	4	7	3	4	5	2	2	2	5	8	2	1	7
FJ822623.1.1387	3	7	7	14	0	1	1	2	0	5	4	0	0	5	2	1	7	4	0	1	6	4	9	0	4	0	6	3	0	4	0	0	9	5	3	2
FR746066.1.1379	3	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	2	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_1886	1	0	2	1	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	2	3	0	1	2	0	0	1	0	1	0	0	0	0	0
AB630619.1.1427	10	9	5	8	9	8	12	3	3	10	3	6	7	8	9	5	2	6	2	10	2	3	6	1	4	1	5	5	5	5	3	8	4	11	4	4
OTU_dn_193	5	15	0	7	3	4	8	5	6	2	5	3	17	8	9	5	5	4	9	6	3	3	5	7	9	0	9	8	6	6	5	7	5	1	3	2
EU132391.1.1359	7	15	2	14	18	11	15	2	24	11	3	10	20	23	23	18	21	1	18	14	15	15	14	11	8	9	12	5	15	16	15	13	15	8	13	11
OTU_dn_5483	3	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	2	1	0	0	1	0	0	0	1	5	0	0	0	1	2	0
KC331414.1.1485	12	5	6	14	2	1	4	1	0	5	3	0	4	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	1	1	5
HM241123.1.1428	7	15	7	9	16	29	21	21	15	20	15	12	17	18	19	15	10	16	9	17	19	25	16	41	16	31	22	9	22	4	14	25	7	1	1	2
OTU_dn_2279	8	25	15	12	18	10	11	15	6	31	7	8	14	6	6	4	8	16	5	6	5	3	9	7	8	7	16	12	3	2	6	8	2	1	1	2
GU214174.1.1453	2	56	3	7	16	14	26	29	69	8	100	191	22	8	117	210	12	20	41	169	58	18	39	36	80	7	159	1	14	35	7	35	0	0	2	0
OTU_dn_1558	2	0	0	1	2	0	0	0	0	0	0	0	3	0	0	1	0	0	3	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU_dn_4441	1	0	0	0	0	3	0	0	0	1	2	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	6	1	0	3
OTU_dn_545	4	1	1	2	4	6	6	0	9	1	10	0	1	2	7	3	2	1	8	3	6	4	0	8	2	6	9	18	3	8	1	2	5	13	2	1
