OTU	ERR2092865	ERR2092866	ERR2092867	ERR2092868	ERR2092869	ERR2092870	ERR2092871	ERR2092872	ERR2092873	ERR2092874	ERR2092875	ERR2092876	ERR2092877	ERR2092878	ERR2092879	ERR2092880	ERR2092881	ERR2092882	ERR2092883	ERR2092884	ERR2092885	ERR2092886	ERR2092887	ERR2092888	ERR2092889	ERR2092890	ERR2092891	ERR2092892	ERR2092893	ERR2092894	ERR2092895	ERR2092896	ERR2092897	ERR2092898	ERR2092899	ERR2092900
HM332925.1.1268	0	0	0	1	6	4	3	0	4	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0
HM187168.1.1443	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	3	1	5	1
OTU_dn_5158	0	0	0	1	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	2	0	3	1	0	0	1	1	1	3	0	3	0	1	3	1	0
OTU_dn_6306	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU454980.1.1479	0	0	0	1	2	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0
EU135083.1.1315	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	1	1	3	2	1	0	0	0	0	1	0	0	0	2	1	1	1
OTU_dn_6366	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	3	0	0	1	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	1	0
AB486683.1.1305	0	0	0	1	2	0	1	0	1	0	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	1	2	0	0
OTU_dn_1985	0	0	0	5	4	0	1	0	0	1	2	0	3	0	2	1	4	1	2	0	1	2	2	0	2	6	0	3	1	1	0	0	1	0	0	1
OTU_dn_4880	0	0	0	2	1	1	2	0	2	0	1	0	3	2	2	0	0	0	3	1	3	0	0	0	0	0	2	3	0	0	2	0	1	2	0	1
OTU_dn_2254	0	0	0	6	1	1	2	0	2	3	1	4	5	3	1	2	1	2	2	0	0	4	3	1	2	1	1	0	1	0	5	1	2	3	0	2
OTU_dn_3792	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0
JX133412.1.1510	0	0	0	4	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	2	0	2	0	0	0	1	4	3	2	3
OTU_dn_3672	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	0	0	1	2	0	1	1	0	0
OTU_dn_1987	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JF800718.1.1479	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_4245	0	0	0	1	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	1	0	2	0	0	1
KF712548.1.1492	0	0	0	1	1	0	1	1	1	2	2	0	1	1	0	0	1	0	1	1	3	4	3	1	0	1	1	0	0	0	4	3	0	0	0	0
HE602803.1.1360	0	0	0	1	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	1
OTU_dn_3474	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	2	2	1	0	0	0	0	0	0	3	12	4	7
OTU_dn_2662	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ043390.1.1352	0	0	0	3	0	0	0	1	0	1	0	1	0	3	2	1	0	0	0	1	0	0	1	1	4	1	3	1	0	2	0	0	0	0	0	0
OTU_dn_1001	0	0	0	1	0	2	3	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0
AJ617920.1.1464	0	0	0	2	0	0	3	0	0	1	1	0	0	2	2	0	1	0	1	0	1	0	1	2	0	1	2	0	0	0	1	2	6	4	4	5
OTU_dn_888	0	0	0	1	5	0	1	0	3	1	1	1	0	1	4	1	2	1	4	0	2	4	3	1	0	1	3	10	2	0	2	1	9	4	3	4
